[88.545] amanatsu_007: radaoKitya
[89.209] (S)にわすずめ: wwwwwwwww
[89.359] ~MISSING_COMMENTER_INFO~: れいーどwwwwww
[89.402] なーじ: 2日目レイード！？
[89.478] hisamo1001: わこらだ
[89.488] (S)なるたこ: naruchan_z subscribed with Prime. They've subscribed for 10 months! 
[89.500] (S)sunsun_deshi: れいどさん！！！
[89.658] fd3sq_: きちゃ
[89.668] (S)shigure_028: わこらだ
[90.037] mizusakura0326: きちゃあ！
[90.243] batu_0009: radaoHi
[90.381] ヨッシー32: なか、ぺんが初か？
[90.667] (S)明日花ちゃん: レイードくんやん！！
[90.826] lapan7200: radaoHi
[91.009] koyaren: wwwww
[91.082] (S)AoironoMalco: ？w
[91.149] もえぴーー: radaoHi
[91.226] 愛の林檎: wwwwwwwww
[91.915] すてぃんぐ: radaoHi
[92.423] yuinokawa: あれ？女性の方きた？
[92.451] kiri_girisu: わこわだ
[92.620] さたさた: わこー
[92.624] おらみか: わこらだぁ
[92.785] (S)ドミノくん: え
[93.301] rona0525: れいーどきちゃ！
[93.434] yuu_1010: レイード！！！！
[94.157] スペルタン: れいーど！
[94.248] root_1123: 初対面なのに酒飲んでんの？ww
[95.052] redthepigboss: あああああああ
[95.096] ma_yu_ka1222: れいーどまじか
[96.247] zarame0531: わこらだ
[96.523] tukaima_2323: wwwwwww
[96.748] さちゃづけ: れいーど！
[96.826] ぽぼッと: わこらだ
[97.445] リベル_0: radaoKun
[97.751] えりすぐり: れいーど！
[98.088] あ表示名これでいいじゃん: あいうえお
[98.394] (S)baketsu_091: baketsu_091 subscribed with Prime. They've subscribed for 2 months, currently on a 1 month streak! 
[98.667] めたた: わこらだ
[98.798] 疾駆: わこらだ
[99.112] itonemushi: itonemushi subscribed at Tier 1. They've subscribed for 26 months! 
[99.712] ウォルフ_: れいーど！
[99.776] ひひひん: れいーどやー！！！
[100.275] にたり: 猫かぶってんねぇw
[100.663] nekodama2155: よそゆきレイド？
[101.154] osikami1111: わこらだ
[101.841] muutyo_io: れいーど！！
[102.064] えりんぎ8: ここにレイドくん入んのwwww
[102.132] クロキ07: わこらだ
[102.402] milk__lemon: radaoHi
[103.460] 狸夢: わこらだ
[103.960] makura17: わこらだ
[104.125] shimuzuma_24: radaoHi
[104.378] hotallu_42: れいーど！！
[104.617] c_h_ihiro: わこらだ
[104.674] ねこねこお嬢: radaoHi
[104.878] 2004_raion: フルパだ！
[105.429] tetubun0721: わこらだぁ
[105.933] もずく_37: わこらだ
[106.082] キラキラボシ: れいーど！！
[106.326] hasami_girotin: れいーどういてるなぁ
[107.498] いつも眠いルカ: いつも眠いルカ subscribed at Tier 1. They've subscribed for 12 months, currently on a 7 month streak! わこらだ radaoHi
[109.194] elu2007: わこらだー 
[109.433] (S)るんぱっぱ12: れいーど！！！！！
[110.298] nekodama2155: 聞いてないとw
[110.389] (S)ゆんふぁ1123: お
[110.432] もずく_37: radaoHi
[110.515] nanasi___0: わこらだ
[110.756] many7575: がんばれー
[110.973] ryo_ngz: radaoHi
[110.990] (S)にわすずめ: お
[111.039] ねっこむ: わこらだ
[112.546] もにぐ: わこらだ
