[1041.521] (S)鉄板: 鉄拳側の喫煙所か
[1042.459] (S)ekiben_taro: 吸わん人はわざわざ近づかんしなぁ
[1052.525] 再度落選の大統領マルモリ: Cheer100 試合後にもかかわらずご対応いただきありがとうございました。次回はぜひ野崎CDをご購入ください
[1053.204] njpw2017: いずれは勝手に撮られる方が楽になるな
[1055.215] h1ran0p: 吸わない人はまぁ行かないし
[1059.738] dekkaipf3: どぐにゃんアズセナ逝ったらしいよ
[1060.615] nalu_coco: ウォチパでずっとトークしてるどぐらさん、さすがだなと思いました
[1066.227] まけイヌ: 頑張って鉄拳について喋ってるさささんが健気だった
[1075.228] Matetya: え、タバコ始めなきゃ…
[1078.790] (S)いわたん_: 大統領配信台映ってたねぇ
[1080.098] 七_: 初めて見たんですがまめスパめっちゃ背高くないですか？
[1087.151] 吉田じんぎ: 4000エン！
[1088.889] 再度落選の大統領マルモリ: いつもお世話になっております
[1089.919] goma_dara: 大統領のご尊顔拝見しました
[1091.082] juno0220: 配信でやってないゲームはやってないと思ってるタイプの視聴者だ！本物だ〜！
[1092.696] arutoda: どぐさんて話す時 目が上向くんですけど何故ですか？癖？
[1104.572] p4seri: まめスパさんマジでデカすぎ
[1107.622] yuyucyannn: うおおおお羨ましい
[1108.555] keruru_chan: でっか
