[1767.388] donekofg: トパンガは四時だっけ早いよね
[1786.627] prisira: まーじトパチャン楽しみ
[1790.038] akasanz3x: 7先のリーグ戦だからそりゃ16時スタートにしないと終わらない
[1790.582] milanor03: 若返った
[1793.116] (S)mart_00_: ピントなおった？
[1794.643] ジャンクばっち: あ、ピント合った
[1796.350] moricocoa: 海外も見れる時間でやりたいのかね
[1800.513] HirocoT: お
[1801.888] wahaha7788: レーシックってわけ
[1803.280] LCDReturns: Daigo 
[1809.809] j_zima: スト6発売日が待ち遠しい
[1816.703] (S)junjamaica: ひょっこりはん、ムキムキやん
[1833.992] buretan555: にやにやしとるなぁｗ
[1834.677] (S)mart_00_: 今日もいぶし銀の方々？ささもにいおらん？
[1843.110] ootsukemono: 対戦画面増えとるやん
[1850.866] yamanashi_sp: EVOで対戦の無かったEWとZhenの七先とかよだれ出そう
[1851.554] balthazar000: ささもにぃは体調不良
[1864.619] だいこん_: ナイスエコ
[1876.665] harumak1_: ラーメン屋の店長がいる
[1890.816] sndkzfm1: リーガーは体調管理にも気をつけないとね
[1893.011] (S)mart_00_: 体調不良かーお大事にやね
[1893.190] (S)perfecttakahashi: メナがどれぐらい強いのかすごい気になる
[1899.862] tabibitox: ほんとゴリラになったなぁ
[1903.684] chin_56_: 真・翔龍拳
[1922.030] akasanz3x: 30分後には始まるから
[1922.744] amato710: 後ろの店長気になる
[1924.374] sndkzfm1: 筋肉への熱いこだわり
[1927.529] misopotato: 製品版でてもやりすぎで体調不良はしゃれにならんな
[1929.547] yamanashi_sp: ささも君の上京後に東京急に気温下がったからね
[1949.294] rain_ford: ウメセンセー
[1952.386] sndkzfm1: 東京は気温上がったり下がったりしてたからな最近
[1952.708] (S)junjamaica: 店長うろついてるなｗ
[1954.562] HirocoT: もにぃお大事にです
[1954.940] ジャンクばっち: ウメsakoの会話ええなぁ
[1959.255] サラバア: 見回り先生
[1960.731] (S)naginagi99: むっちゃジャストする
[1962.695] akasanz3x: 店長だからねえｗ
[1970.518] 1678923482: ささもくん体系的にも体調管理はしっかりしないとやばそうだ
[1973.907] buretan555: 修造が日本離れると気温下がるっていうね
[1985.457] harumak1_: そういえばPvでメナがルークは必要ないとか言ってたけど、使わんのかな？？
[1994.117] hamham9999: 今日はなるお来てないのか
[2013.786] 地獄のフブキ: Daigoさんいつからやりますか？
[2021.346] (S)junjamaica: やっぱ若いと反応はぇーな
[2025.653] ancehutn: 店長！
[2033.125] moricocoa: 反応いいな
