[77.790] yuten_p: あるケロよ？
[78.027] mintia5555: 雪見だいふく買うわ
[78.287] (S)ゆかり飲んで落雷轟轟: こんちくら
[78.579] (S)イモトです: おまえ純の悪口言ってたらしいな
[78.816] GALosaru5460: うんこちゃんとご飯いけた？？ 
[78.954] batoyome: 軍団再加入おめでとう
[79.030] unchigamingunchi: ゆきみだいふくちっさちっせえバトラ見てえ
[79.037] (S)misosoup5296: それうちにもあるから一緒に食べる！
[79.079] ロックな岩: よお
[79.172] (S)サかね: 俺にある
[79.396] komatsu0829: いや？
[79.829] missorine: マリオ捨てたの？
[80.011] (S)chubbydove: でもゲーフリはmottyに案件渡したよ
[80.016] (S)minatoyssy: #PR
[80.101] nejirihatimaki926: あのバトラも絶賛
[80.226] takkinaldy0729: よお
[80.494] (S)azarashi428: batoraDrum
[80.730] (S)richard_starrky: 🌴
[80.743] bryntoad: BloodTrail
[80.843] zyagabee: 俺が買う
[80.923] こもりだいすけ: 昨日の枠、宗教上見れないから感想頼む
[81.013] kjbkby: いや？
[81.207] apple_pie0827: #PR
[81.435] (S)ワンダー明日やります: #pr
[81.676] (S)まさたか1999: いつまで45ってんだお前
[81.723] (S)フェネル: Switchに語ってくれ
[81.723] ishimaru0519: 自分で言うなよ
[81.910] cthlyy: 分かってんじゃん
[82.134] ジョニーでっぷ: よお
[82.308] 開拓者56: よぉバトラ 
[82.376] otarunozakiyama: ネジキやらんのか？！
[82.770] kumoayu: #pr
[82.978] (S)村紗あざらし: 小粋なトークしろ
[83.041] i_lohas_love: ようバトラ
[83.249] aishiteruyo1104: 今日何するかだけ先に教えてくれ！！！
[83.768] tukum_o: DinoDance
[83.989] (S)kotono_ha: 俺の中では最強の人材だよ
[84.486] (S)千倉ン大学卒業生: カトさんの前では一段と小さいよね
[84.948] 夏0928: なあバトラ、Wi-Fiって何がいいんだ？
[85.144] 25pori: ロッテの名前出すなパリーグの邪魔者
[85.336] shibuki_nico: お前がTwitterで発言したら通知来るようにしてるからしょうもない事書き込まないでくれるか？
[85.351] (S)aburi_saamon: 神BGM
[85.360] あきのす: #PR
[85.395] itsukoya: スト6CRカップで使うキャラもう決めた？
[85.798] (S)ワンダー明日やります: うんこちゃんはじ...えーっと...いつもっ...昔から...あのー...あのっ...パワポケ8のときからほんとに...あの〜...見させてｲﾀﾀﾞｲﾃ......
[85.845] G_nebilim: 雪見だいふくって匂わせか？
[86.171] (S)satsi045: batoraValo
[86.180] おさかなさーもん: tonboYametenme
[86.472] tonegawa393939: 板チョコアイスのがうまい
[86.514] (S)batora_view_bot: わあ！おいしそう！
[87.055] ヴァンホーエンハイム: ロッテ今日勝ったぞ
[87.068] ~MISSING_COMMENTER_INFO~: スマブラ大会に七原くん出てたのみた？
[87.552] ぺぺ2: 買いに行くわ
[87.680] (S)わんぱく: くらーら配信してるけど見ないの？
[87.802] fu35324: はぁぁぁぁぁぁあんしゅきしゅきしゅきしゅきぃぃぃ♡♡
[88.504] (S)瑠香: 配信と仕事両立できないなら仕事やめたほうがいいんじゃないか？
[88.901] (S)しめち: 助けてね 
[89.159] hoo_key: ゴースティング
[89.160] okookookome: あ
[89.540] ikuragenn: えっど
[89.776] ぺぺ2: えっど
[89.877] minato56m: えっど
[89.961] makou2023: ネジキから逃げるなよ
[90.102] (S)neji_ki: えっど
[90.179] shinotoshiteru: あ
[90.330] 1648942: あ
[90.408] taro_b19: 仕事やめたの？
[90.441] impacttto: Switch後継機と聞いて
[90.444] (S)namanieru: えっど
[90.559] SMiTh0817: 咀嚼ASMRやれ
[90.769] fu35324: はぁぁぁぁぁぁあんしゅきしゅきしゅきしゅきぃぃぃ♡
[91.074] ll_cc_002: あ
[91.174] omotena4ttack: 一個ちょーうだい
[91.253] gerupa: えっど
[91.299] amethystbeet: あ
[91.303] (S)苗木: あ
[91.303] あきのす: えっぢ
[91.654] (S)akina1048: うわ
[91.667] sushi3130: えっど
[91.726] (S)バターのカルピス: えっど
[91.728] (S)村紗あざらし: あの！？
[91.854] (S)minatoyssy: えっど
[92.011] watten10: くらーらから
[92.238] (S)フェネル: Switchについて語ってくれ
[92.427] (S)myo_an0v0: えっど
[92.495] maecradioh: えっど
[92.593] sakuranoa: batoraEdo
[92.648] todo_19: えっど
[93.181] white6530: えっど
[93.183] rin182949: えっど
[93.214] いかいかなん: えっど
[93.215] europe05: 雪見だいふく一つください
[93.223] (S)Riz126: えっど
[93.427] hiro_see07: えっど
[93.561] (S)waowaodayo: えっど
[93.707] kp0001: えっど
[93.926] ネン: えっど
[94.062] matcha1935: えっど
[94.266] kazupiro: えっど
[94.272] unununchiwww: ロッテごときがバトラにすり寄るな
[94.277] ishimaru0519: えっど
[94.454] (S)zunzunyama: batoraSudachikun4
[94.537] (S)chienpao30: えっど
[94.671] (S)named_silva: えっど
[94.947] hiza_official: オリジナルすだち堅あげポテト作らないか？？
[95.047] (S)サかね: えっど
[95.102] ~MISSING_COMMENTER_INFO~: えっど
[95.175] kerokero_3: えっど
[95.177] ikenuma_go: あ
[95.273] itsukoya: スト6CRカップで使うキャラもう決めた？ 
[95.385] TariTrill_O8: こんにちはバトラさん！！！！
[95.388] ち_____: えっど
[95.463] (S)nemo_1729: やめてね 
[95.743] tamanegi1616: えっど
[95.743] toppo_2525: https://clips.twitch.tv/DiligentCulturedDinosaurSpicyBoy-pF2XZfUcewa2QHNy
[95.938] (S)さえきあああああ: えっど
[95.991] kaosu4: えっど
[96.008] nezar777777: えっど
[96.165] 山田亮介: えっど
[96.182] (S)momor1n_b: えっど
