[1395.363] kamisimeru: カゲの知識とアビゲイルの知識が合わさり最強のウメハラが誕生する
[1396.560] Gordstorm: 差しか壊死
[1397.426] dekamega: へっる
[1398.374] jigokunonekomatu: まぁアビはストリートファイターだから
[1398.657] guaiarui: へっる
[1398.886] rhayader_alone: 真っ赤
[1401.670] (S)FENR1SWOLF: shakunetsu @Wideawakeanimal
[1404.097] NecroSeth: @Raynys you stfu scrub. show me the match up chart
[1405.830] omegazwalt: アビは去年苦しんだし
[1407.555] Tessiuz: @Wideawakeanimal shakunetsu
[1408.713] kibayashi21: 阿修羅は？
[1412.346] DarkBorne6: oh snap
[1414.168] retro_ff: なんで久保ちゃん側これ配信してないのよw
[1414.908] 快楽天ビ一スト: @wideawakeanimal shakunetsu
[1415.821] asseternum1: chill guys
[1419.807] Raynys: @NecroSeth you can suck my dick easly, kid 
[1423.655] tencooooooooooo: 久保もだいぶ択のかけ方よくなったよね
[1426.090] domontyan: うまい
[1427.333] balthazar000: 久保は心を、、、
[1428.136] Wideawakeanimal: @FENR1SWOLF @Tessiuz @alemi_50 thank you!
[1429.178] mohumonn120: umeShave
[1430.752] junchang31: 久保配信なしマジ？！
[1432.244] NecroSeth: @Raynys you can suck my block button ladyboy
[1434.403] saitama_da: アビッ！
[1434.408] (S)FENR1SWOLF: look at the egos in here lmao
[1434.581] Virg12: daigo, plz demon rage me and my wife
[1435.703] Ronji87: umeCatHope
[1437.613] dekamega: これが政治
[1439.430] kamisimeru: 最後めくり飛びヒットしてくれー
[1446.332] (S)ふぁびかん: さっき見たな
[1447.469] (S)中群かずふみ: こんばんわ
[1449.699] Raynys: @NecroSeth ahahahah what a child. How old are you? 5?
[1451.087] GojiraLink: lmao kids arguing in twitchchat 
[1451.198] Asian_Buttocks: こ、こら！
[1452.266] domontyan: ああああああああ
[1453.653] (S)FENR1SWOLF: NotLikeThis
[1453.775] papipopon: あああ
[1456.224] retro_ff: 減るw
[1456.871] Gordstorm: まじ
[1457.486] 多抜深夜: もったいね－
[1462.119] Virg12: @GojiraLink 
[1463.944] (S)べーこん118: カゲはこれがある
[1465.440] no_anti_air: あそこは弱昇竜
[1468.217] feel2525: うむ
[1469.166] (S)FENR1SWOLF: threw away that P lol
[1471.117] jigokunonekomatu: 運びます
[1471.724] umememe: 勝ったー
[1471.879] utiyamasatoshi: おおおおおお
[1471.888] keydashonline: :O
[1473.673] asseternum1: yeye
[1476.198] YakisobaPanAngel: Imma call this guy a kid thaqtll show hum 
[1479.701] menma1993: pressure
[1479.940] kazukitaiga: さすがビースト
[1480.420] bigkirk: who wins this matchup
[1481.793] saitama_da: ｱﾋﾞﾋﾞｯ・・・
[1483.020] retro_ff: アビに裏回れ無かったり以外に当たらなかったりあるみたいね
[1483.544] balthazar000: やーる
[1484.881] keydashonline: the best umee
[1486.427] (S)liblie: 空中波動もいいんじゃなかったっけ？
[1486.589] utiyamasatoshi: ９連勝とめた
[1486.912] galovan0: つめのやられ後ろにいったのやっぱおかしくね
[1489.116] dubaigo_umehaial: I love you Daigo
[1490.691] あずき3: 来たら久保くんやん
[1492.201] Virg12: i wish i was still a kid raging FeelsBadMan
[1492.398] 多抜深夜: アビは難しいからね
[1492.662] (S)子亀の親分: 勝つんかい
[1492.826] rhayader_alone: 弱キャラ（）で最強キャラに勝つ
[1494.146] Raynys: @NecroSeth look at that, idiot. Kage is worse, right? 
[1494.165] (S)ふぁびかん: たまw
[1496.275] domontyan: 久保ゲイルのゲージマックスは危険
[1497.308] k_zetton: なんでフープで抜けないのかな
[1498.753] (S)tabibitox: 久保はリスナーなので瞬獄飛びそうｗ
[1503.701] mohumonn120: umeGuile
[1507.489] moviepassion: 久保ゲイルやん
[1514.788] あずき3: umeGuile
[1516.812] tujimen: 空中波動いちおう立ちにあたるけど微妙
[1529.229] (S)hakuchi11: でた～
[1529.507] mohumonn120: umeGuile
[1530.175] cocolo33322: 久保さんじゃん！？
[1532.420] Virg12: anyone remember cargo pants that had a zipper at the knees and became shorts ? those were the days
[1533.556] no_anti_air: きちー
[1536.125] (S)dsadsa454654: umeYung
[1538.011] GojiraLink: @Virg12 It was indeed a simpler time PepeHands
[1539.938] shupii097: やっべーなハンガビー
[1542.225] (S)remorse2015: remorse2015 subscribed with Twitch Prime. They've subscribed for 11 months! 
[1542.333] (M)Moobot: Thanks for subbing for 11 months, @REMORSE2015 
[1545.325] あずき3: umeSnooze
[1548.164] menma1993: what's buffed on Abigail?
