[7566.644] (S)シャケ猫: tonaka2Ggggggggg
[7571.379] Nagoya_taro: ナイス〜
[7572.257] bamboo3q: gg
[7573.909] (S)zakiyoka: gg
[7584.453] (S)owo_8o8: tonaka2Ggggggggg
[7600.348] suu110: @4か
[7609.666] (S)シャケ猫: えら
[7614.425] (S)owo_8o8: お疲れ様やで
[7652.156] (S)シャケ猫: ひっくり返るぞw
[7679.684] ほまれー: ZETA惜しかったですよねー
[7683.693] sun_hidamari: ちょうどいい汗芋がそろうか
[7705.518] (S)owo_8o8: しなしなだw
[7732.138] (S)シャケ猫: 楽屋で寝るやつやw
[7780.219] くすめ: 明日応援してるわ
[7789.252] dippzy____: #PR
[7796.241] (S)シャケ猫: 出汁みたいな
[7808.868] くすめ: マイルドなお酢
[7832.799] (S)シャケ猫: すし酢みたいな感じよ
[7904.795] (S)zakiyoka: ないす
[7937.970] (S)owo_8o8: tonaka2Niyari
[7940.806] waracat333: ヘンディーはえらい
[7943.082] daichaaan12: 頑張れ〜応援してるぞ〜
[7945.857] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[7946.454] saladman33: いー顔してる
[8003.835] (S)zakiyoka: ないす
[8007.625] (S)owo_8o8: tonaka2Nice2
[8120.063] (S)zakiyoka: nt
