[2038.378] imurilove: nice 
[2048.251] omedetroit: 大谷、承太郎になったか
[2052.958] yakan06: ゲーム実況いけるな、大谷
[2058.261] nup1965: Last night Daigo wondered Why jiyuna calls daigo umehara san
[2063.324] omedetroit: 時止め覚えたな？？
[2065.491] 56ne5656: お前がとぶんかいｗ
[2078.713] MindOnAir: jiyuMax
[2086.068] qq_taro: んっ短足
[2093.762] unbrean: 英語が消えてステレオになった
[2097.611] (B)(S)DaigoTheBeasTV: ffffffffffffffffff
[2107.665] おじキッズ兄: さよならアンドリュー
[2110.700] (S)balthazar000: ネット修理に奔走？
[2112.149] tas0142: アビゲイルとリーチ差倍くらいあるな
[2113.196] imurilove: アンドリュー落ち着け
[2113.836] Coron___: ｗｗｗ
[2116.227] omedetroit: ザ・ワールド！！
[2116.922] moosan12: クリスTまでに直しな
[2119.093] 56ne5656: 大丈夫？ｗ
[2119.153] 悪魔ほむら: Lagging player 
[2120.069] nup1965: Rip jiyuna
[2126.441] rubio222: アンドリューが置いて行かれた
[2131.990] (S)balthazar000: こりゃあキツイっすね
[2135.051] qq_taro: ｗｗｗｗｗｗ
[2143.804] tokitokido: オフ対戦しようぜ
[2152.065] shikamaru123456: その三人で対戦しろ
[2155.796] (B)(S)DaigoTheBeasTV: I'll buy a new router before the next stream
[2157.693] 先日助けてもらった鶴です: ラグ闘法しとるな
[2160.556] inukubow: ラグひどすぎるな
[2174.180] arisugawakoen: ルータの問題でいいのか?
[2175.231] omedetroit: アンドリューありがとな
[2176.444] 先日助けてもらった鶴です: ３人のサブキャラ発表会しよ？
[2177.579] imurilove: アキバに走るか
[2177.852] 56ne5656: ルータなの？
[2179.029] Kanquez05: ルーターの問題だといいが
[2189.103] omedetroit: でも今日クリスTのラウンジ大丈夫か？ww
[2198.282] 悪魔ほむら: この変な止まり方は相性の可能性も高そう
[2198.633] nup1965: So you have to buy it right now
[2198.663] (S)balthazar000: アキバ遠いで、、、
[2210.432] (B)(S)DaigoTheBeasTV: Moke stream at 8, Chris T at 9
[2210.923] ~MISSING_COMMENTER_INFO~: ｗｗｗ
[2213.517] (B)(S)DaigoTheBeasTV: this finishes at 6
[2214.673] 56ne5656: アビ放送の時はこんなんなかったよね？機器ならいいけど
[2215.317] inukubow: 強いな相手
[2218.669] qq_taro: 大谷君ストモンの才能あるね
[2219.764] (B)(S)DaigoTheBeasTV: so I have 2 hours to try and fix this
[2230.397] momiji4431: アンドリュー頑張って
[2230.792] acton2016: (T_T)
[2231.497] King_Fuudo: 3人でリーグ戦するか？
[2232.387] omedetroit: アンドリューまじかww
[2233.256] arisugawakoen: 2時間で買ってきて設定は大変だな
[2233.672] wayser: 4 am for me so at 7 is chris t?
[2234.107] imurilove: えいたルーター買って来て
[2234.401] 56ne5656: 頑張って
[2236.482] Kanquez05: アンドリューおつかれ
[2237.767] moosan12: アンドリュウうううううううううう
[2239.364] Hammer_44: god bless you jiyuner
[2243.092] (S)balthazar000: 新宿ヨドバシかね
[2247.894] nup1965: Good luck jiyuna
[2250.647] 56ne5656: ２時間は短いなぁ
[2252.835] ikkoku24: 回線RTA
[2254.950] moya2twitch: テンションが数年前のかずのこっぽい
[2260.746] (B)(S)DaigoTheBeasTV: that was sick
[2266.796] omedetroit: 折笠、こういう時に走るんやで
[2273.801] ラビットパンチ: うっま
[2274.192] Kanquez05: おー
[2274.856] YukariMAiG: Kreygasm
[2274.991] samuragi: kids gloves are off LUL
[2275.717] たまげた: 回線あれだからオンじゃなくてオフで三つ巴しよ
[2275.811] kbti: まーーーじか
[2278.528] 悪魔ほむら: バッファローの3000円の買ってきて
[2278.722] acton2016: まじかよ
[2280.011] moosan12: アンドリューの一番長い日
[2285.995] (S)Giichigi11109: umeSnooze
[2317.555] ヴォルクはん: 対空心眼のあとはやっぱ投げ安定なのかな
[2326.950] omedetroit: スト4のリュウでどういう動きするのかも見てみたい
[2326.952] yatti54321: これ見てるとウメリュウ見たくなる
[2333.892] 悪魔ほむら: でも一応他の人ともやってみた方がいいと思う、原因が絞れる
[2335.190] nup1965: You should make someone buy it
[2357.789] (B)(S)DaigoTheBeasTV: Make someone? Who lol
[2358.196] ヴォルクはん: キャラがク○だから・・・
[2364.327] (B)(S)DaigoTheBeasTV: I'm a one man army here
[2368.402] nup1965: Daigo!
[2371.047] 56ne5656: そうね。原因の切り分けした方がいいかもね
[2381.818] Hammer_44: no perfect 
[2382.969] wayser: yus
[2393.630] kona_kun0530: よしっ
[2394.216] 56ne5656: アンドリューの孤独な戦いが始まる
[2401.899] mushikinoko: 折笠おらんかー
[2405.185] stainless304: しゃーない
[2406.636] YukariMAiG: Daigotani
[2408.800] mushikinoko: 頑張れアンドリュー
[2410.587] Speedygi: so cool ryu
[2420.627] ganva: 三つ巴
[2424.618] おじキッズ兄: 10先？
[2425.881] tas0142: リュウが劣化豪鬼にしか見えない
[2426.276] perrys6: 催眠術師雇おうか
[2431.579] 先日助けてもらった鶴です: １００先
[2442.658] samuragi: ＆龍の如くw
[2449.320] omedetroit: マジで劣化豪鬼だからね…冗談抜きで
[2451.255] (S)Giichigi11109: 生で大谷リュウが見れるなんて幸せすぎる
[2456.446] vesitermbtl: リュウにしかできないことってある？
[2460.194] ganva: ３先か5
[2463.467] yakan06: ３
[2467.802] inukubow: ５先がべたー
[2477.059] koretch: ルーター冷やすのも手だよ
[2478.085] (B)(S)DaigoTheBeasTV: John played pad in Japan cup
[2490.086] (B)(S)DaigoTheBeasTV: he's been switching to Stick but looks like back to pad
[2500.047] ヴォルクはん: またパッドに戻したのか
[2521.867] ストロング2424: パッドに戻したんだ
[2522.177] mushikinoko: www
[2524.470] omedetroit: スト5はパッドでいいまである
[2533.700] kaelukaelukaelu: 今日も配信あるんだな
[2535.404] tas0142: 心眼かな・・・
[2544.269] (B)(S)DaigoTheBeasTV: Otani says Ryu's strengths are his hadouken and forward dash
[2545.342] nup1965: Stick is outdated
[2547.471] guesswhoiam2021: I am a controller player
[2550.787] omedetroit: 心眼もいうて他のキャラあるしな…
[2551.881] kaelukaelukaelu: ウメハラは居ないの？
[2553.155] kona_kun0530: 大谷君いくつなん？
[2557.296] guesswhoiam2021: my main i karin
[2562.017] 1300kkw: アケコン壊れてしばらくパッドでやってるんだけど対空めっちゃでる
[2562.714] guesswhoiam2021: and i am strong thx
[2562.986] omedetroit: ウメは8時からもけと
[2566.549] tas0142: 心眼もガークラもアビゲイルのほうが強い
[2569.445] beakerkyouju: 持って帰る？
[2569.794] perrys6: １９だっけ
[2572.336] 悪魔ほむら: 走りながら通訳してるってマジ？
[2582.725] perrys6: 二十歳だ
