[548.836] 賽の瓦: 最強すぎ
[548.889] zonoooooooo: リドルはどっかで20位とる。逆に20位取らないと危ないねむしろ
[549.104] seal1119: あ
[549.206] maru8723: wwww
[549.391] とろとろサーモン: あ
[550.169] yuuki7586: あ
[550.303] こ丸: a
[550.477] mint_chocolate7777: wwwwwww
[550.805] yomog1mochi043: wwwwwwww
[551.002] ghsjjfbi: あ
[551.011] tyomu_san3: あ
[551.126] あごーと: あ
[551.604] rimito: あ
[551.794] ーリーダー: フナにさえ絡まれなければいいな
[551.902] siochan_jp: ｗｗｗｗｗｗｗｗｗｗ
[551.985] takeshiyyyyy: た、かまさ
[552.044] imJoru__: ｗｗｗｗｗｗｗｗｗｗ
[552.064] (S)minatsuki_419: あれるがridほめてるぞ
[552.462] まゃか: はっや
[552.673] シコのプーさん: あ
[552.689] m1ch1_99: vodkav2Eguui
[553.246] y4kum1neg1: あ
[553.561] ssssssssszx: あ
[553.767] sugoi_hayasa: チャンピオン→うるさい
[553.966] gurararaaa: wwww
[554.023] Collon_lol: あ
[554.184] mal2222222: ww
[554.453] srt_kayano: あ
[554.604] (S)マーチ9: え
[554.824] グラル87: あ
[555.052] Riopikumin: っしゃ
[555.609] aota_fps: まじか
[555.740] runats5277: 初戦で並ぶのやめてね
[555.767] ンゴロンゴロダロ: あ
[555.891] kabakabao3: wwwwwww
