[169.357] (S)すとーぶぅ: radaoHi
[169.908] ゆずシフォン: お
[170.005] (S)suzunone_: お
[170.419] (S)EarlGrey_SPR: お
[171.235] れもんちぃ0: いいね
[171.290] しめざめ: いいね
[171.923] (S)osato_azi77: おお
[172.352] (S)コンさん: いいね
[173.587] (S)komatuna_pipipi: いいね
[174.113] (S)hakurin12: お
[174.285] (S)ゆにるな: そうね
[174.970] (S)星映天下: いいね
[175.128] あるみ屋: 買ってもいいね
[175.490] (S)スコーンをすこーん: 白鳥？
[175.588] edyuwar66: バイクは何が強いんだろ
[175.706] many7575: 昨日のリグ熱かったー
[176.227] (S)nox3010: radaoHi
[177.013] sora_mameee: たしかにね
[177.492] (S)わふねこ: やっちゃえやっちゃえw
[182.103] (S)月神雪兎: たしかにね
[183.266] ei_ae: radaoHi
[183.491] (S)osato_azi77: そうね
[184.710] まめぱと: radaoHi
[184.783] (S)akane1827: 小回りがね、いいよね
[185.681] tukky1208: radaoHi
[186.101] many7575: いいねー
[187.524] ちゃわん蒸: radaoHi
[187.741] (S)星映天下: シノビとハクチョウとパワーサージだっけ
[192.455] ログリア: わこらだ
[192.699] れもんちぃ0: パワーサージ？
[193.054] (S)aibou0511: 買ったっていい
[193.259] (S)EarlGrey_SPR: ハクチョウドラッグ？
[194.210] (S)ぴぷるぷる: 街中がいいよね
[195.813] シルキス: パワーサージいいね
[196.913] ﾏﾙﾏﾙ: パワーサージか
[197.010] あるみ屋: あー
[197.127] (S)あたたかいうどん: himari_ri subscribed at Tier 1. 
[197.655] waterdragon131: ぱわーさーじ
[197.853] (S)777suke777: パワーサージ
[198.862] (S)EarlGrey_SPR: そっちか
[201.499] (S)黒蔵: わこらだー
[201.754] (S)みこくま: いいね
[201.756] (S)mijyu_711: radaoHi
[202.438] baberuboburu3939: radaoHi
[205.576] (S)てまり0010: radaoHi
[206.609] (S)ると73: パワーサージはうるさいからなー
[210.991] many7575: バイク好きよ
[211.370] (S)そら_1907: あー
[212.228] ﾏﾙﾏﾙ: へー
[212.793] (S)音駒猫氏: radaoHi
[212.826] (S)hakurin12: あー
[213.268] sora_mameee: へー
[214.239] kurageru: へー
[214.490] nekoneshi: ﾜｺﾗﾀﾞ
[214.562] (S)ゆにるな: あー
[214.777] にわすずめ: へー
[215.115] ゆずシフォン: へー
[215.154] れもんちぃ0: へー
[215.385] (S)komatuna_pipipi: へー
[215.558] あるみ屋: おー
[215.738] (S)takahasi0211: へー
[215.870] (S)おはおはお: へー
[215.961] (S)かめいいんふ: へー
[216.966] (S)るでぃにあ: へー
[217.554] (S)みやた23: radaoHi
[219.079] (S)しめったチワワ: へー
[219.621] tukky1208: へー
[219.629] (S)のむ_のむ: ほう
[219.830] yunoooa: へー
[220.046] (S)suzunone_: へー
[220.080] (S)ゆにるな: へー
[220.718] (S)baceneKo: へー
[221.715] (S)そら_1907: 火種や
[222.955] (S)takahasi0211: えぐいwwww
[223.429] あるみ屋: wwww
[223.645] (S)ゆにるな: wwwwww
[226.917] ﾏﾙﾏﾙ: www
[227.309] (S)そら_1907: wwwwww
[227.343] (S)maim007: radaoHi
[227.500] (S)ぴぷるぷる: 島取り合戦か
[227.520] れもんちぃ0: wwwwwwwwww
[227.539] (S)aioka_y: www
[227.944] many7575: www
[228.011] 柗原: ここGBCの島なんだ
[228.759] ruterute_016: wwwwwww
[228.847] にわすずめ: wwwwwwwwww
[228.932] (S)tanuki_077: www
[228.962] (S)コンさん: wwwww
[229.415] しめざめ: wwww
[229.541] Yuchica_: radaoHi
[229.600] (S)EarlGrey_SPR: www
[229.639] (S)osato_azi77: wwwwww
[230.483] (S)Gerugerumanimani: ｗｗｗ
[230.491] many7575: あー
[230.758] (S)ゆにるな: wwwwwwwwwwww
[230.978] あるみ屋: wwwwwwwwwwww
[230.989] (S)しめったチワワ: www
[231.219] (S)とろネギ: グッバイかここは
[231.556] (S)そうるーど: wwwww
[232.064] (S)星映天下: 火種がゲットだw
[232.387] (S)baceneKo: ｗｗｗｗｗｗ
[232.439] ゆずシフォン: www
[232.652] (S)komatuna_pipipi: wwww
[233.078] (S)kamennu: www
[233.194] ﾏﾙﾏﾙ: 大正解w
[233.408] (S)suzunone_: www
[234.141] many7575: なるほどねー
[235.700] (S)つなまよ07: まだ新興ギャングなんですぅwww
[236.307] (S)yakkooo630: あ、りけん
[237.121] (S)るでぃにあ: だぃせぃかい
[237.140] sora_mameee: 火種ゲットか
[238.365] (S)kamennu: さすがギャング
[238.560] kfc0925: からあげ！？
[238.787] (S)sui_1103: radaoHi
[238.806] あるみ屋: ケイン一番ギャン向いてるだろ
[239.603] チュチュンバー: radaoHi
[240.210] (S)meria777: arikenn!?
[240.314] ﾏﾙﾏﾙ: wwwwwwww
[240.909] あらんえむかーびぃ: wwwwwwww
[241.650] (S)うみやま: ｗｗｗ
[242.115] (S)EarlGrey_SPR: GBCならええんちゃう？www
[242.123] (S)yumesawa: あ、りけん
[242.547] (S)poihoikoi: あ、りけん
[242.716] (S)るでぃにあ: あ、りけん
[243.226] suujaku: あ、りけん
[243.347] (S)月山シエスタ: 唐揚げ食いたくなってきた
[243.406] (S)かめいいんふ: ｗｗｗｗｗｗｗ
[243.443] にわすずめ: wwwwwwwwwwwww
[243.811] (S)ゆにるな: www
[244.081] many7575: ピンクにそめよう
[244.445] (S)aioka_y: wwww
[244.753] kurageru: ｗｗｗｗｗ
[244.846] (S)makimaki114: ありけんwwww
[245.414] _イオ_: それチャルロス
[245.632] ペネロペ: あ、りけん
[245.644] sakiika0w0: radaoHi
[246.278] 96猫3: あり、けん
[246.392] (S)k0ku3: あ、りけん
[246.503] navyblue___: ありけん
[246.553] many7575: www
[246.579] (S)さわタイ焼き: あ、りけん
[246.599] (S)suuchaaa: www
[246.640] (S)とろネギ: wwwwww
[246.705] nekoneshi: www
[246.920] ばにら0115: wwwwww
[247.123] ゆずシフォン: wwwwwww
[247.154] (S)kokone0927: wwwwwwwwwwww
[247.199] (S)yuimiti: あれまじすきwww
[247.331] (S)EarlGrey_SPR: あ、りけん
[247.737] (S)mappa_hi: けんくん！？
[247.998] アメタマ: ありけんやないかw
[248.052] (S)suzunone_: あ、りけん
[248.597] tukky1208: あ、りけん
[249.012] ﾏﾙﾏﾙ: あ、りけ...
[249.020] (S)かめいいんふ: あ、りけん
[249.618] (S)rimaru10: それすき
[249.903] (S)わふねこ: あ、りけん
[250.659] (S)おはおはお: radaoW
[250.783] れもんちぃ0: wwwwwww
[250.832] (S)hnnnnnk173: あり
[250.996] (S)月神雪兎: あ、りけん
[251.112] ayunosioyaki0223: あ、りけん
