[36.505] 306h: おいす
[1133.952] kaiserletze: ゲーム上手い人まじ大事
[1135.557] fiaaaaa: うますぎ
[1136.241] genocidekis: ブルーシートおじさん
[1140.864] mot1o__: 普通にあれえぐい
[1143.979] キューブってる: 普通にすごいw
[1144.516] mm11593: らっしゃーリドルある？
[1145.201] hika_9: クラッチさんゲーム下手な人と遊ぶの苦手言うてたからそういうことなんやろなぁ
[1145.498] Kam1Kaze78: マーティずっと人力16倍使ってた
[1147.371] kaitousawa: ポンも添えてくれる
[1147.714] komorin15: 初RUSTであれってすごい
[1148.815] siochan_jp: タルコフ市民だからな
[1151.468] ぜりっぴ: 普通にゲームウマい
[1152.708] Octo_noveM_: AVAのゴールドスター1位やぞ
[1154.320] ほうじ茶緑茶: すごい
[1155.361] みうはる: ラッシャーさんがこんなに面白い人だと思わなかったw
[1156.335] sakuraisatorujp: 名誉タルコフ市民や
[1158.854] Kam1Kaze78: rassyaHagesmile
[1166.766] akagitakenorii: 売れかけ星に住んどる
[1173.351] yoi_bxdxss: ひなのファミリア最高だったよボド
[1175.863] vg7wr: それでおもろいからさいこう
[1179.515] megamori300: ボドカのチャット予約に注意してたのラッシャーさん喜んでた
[1183.730] Kam1Kaze78: まーら
