[369.509] matoo0777: リーサル力がかなり上がりました
[370.241] aranami0: うおおおおお
[370.886] valhalla5555: おお
[371.101] まめっ子: おお
[371.224] kotokiig: うおおお
[371.802] shellfish55: 結局立ち回りがきついんで…
[372.521] (S)ちぇんぷる: おおー
[373.111] lucky7404: 波掌撃の固めが良い感じ
[373.321] slavetolm: ほうほう
[373.332] maruino351: うおおおおおお
[373.425] mogetasan: 集中スタートにしてほしいな
[374.215] ありのっち: リュウ使いです、とにかく何よりも思ったのが火力お化け
[374.715] balthazar000: 帰国は明日？
[375.683] yut7xot8: うおおおおおおおお
[375.764] sn0wf0x3: おおー
[377.184] 一1990: 使ってください！！
[378.394] johnny515151: 個性は伸びたよね
[378.541] osarusan26: 翔くん配信チラッと見たけどどのキャラにも一引ける性能にはなってるとは言ってた
[378.776] (S)firefly860130: ラッシュも早くなったような
[379.774] テムおじ: うおおおおおお
[381.037] nabewata21: 条件揃って高火力は現実的じゃない
[381.168] tankbba146: スタンしてなくても大P当たったらパニカンなくてもSA2コンボで6000近く出るよ
[381.702] (S)けろろがめ: やったあああああああああ
[381.852] balthazar000: 実際に触ってもらいたいかなぁ
[383.797] wrwig: 起き攻め捨てて集中の価値あるよ
[384.333] 箸くれ: さらなる調整来ますし
[384.439] akittyan: ウメリュウくるの！？！？
[384.523] rachel_hakumen: 立ち回りは結局弱そう
[385.356] shellfish55: 弱いよ…
[386.307] ニャガレ: 密着したら強いけど、上に行くほど弱い気もします。ボッタクリでガードさせて択ってる
[386.443] (S)HinaConoKiyo: リュウ使いの人は変わってないって皆んな言ってない？
[386.663] takahashiseigi: ガイル村はいたって平和です
[388.110] きゃすさん: マゴさんはときめいてた
[388.528] (S)y_proto: 見てみたいな
[388.543] たる侍: さがる相手追いかけるのがきついのはあんま変わらない
[388.754] pokkunnn: さわりだけでも楽しみにしてます！
[389.657] amateras04: 近距離リュウビが使えるようになったかんじです。
[389.974] chin_56_: 💓💓
[390.290] 日本語かな: そんな変わらん
[390.520] alrelelle: はしょうげきはつよい
[392.680] happasan44: 豪鬼までのお遊びですよ
[392.950] lucky7404: もう最弱は絶対にないね
[393.193] 4444446666: そんなつよくねっす
[393.821] tabibitox: 今回は本調整じゃないからたぶん次回もっとよくなる
[394.753] yut7xot8: マゴさんのみ大興奮
[395.864] seiji141141: (みんな強いってことにしとこ)
[396.094] tankbba146: 強いけどトップはないって言ってる
[396.481] alrelelle: 立ち回りはよわい
[398.071] akatoki_mk1: ウメリュウ見たい！
[399.128] sn0wf0x3: 立ち回りは弱い
[399.898] らぎあっち: ガイルでいい
