[807.011] 雨水ぺとる: していいんだｗ
[810.790] (S)shikaness: リジェクトはまじで練習してる
[810.874] ponponsa: 正直どうせ決勝まではいくだろうとは思ってた
[814.581] シンラくん: にょす
[816.463] nami_ma23: dj_namima subscribed at Tier 1. They've subscribed for 25 months, currently on a 25 month streak! 
[820.198] d4ice_: めっちゃエゴだけど強い上でエンタメもある人達であって欲しいなって思っちゃう
[826.106] chachamarud: チーム内の温度差が一緒になるといいね
[826.582] shun_215: さくさんガチガチやったの以外。1番慣れとると思っとった
[827.920] omatsu1234: ランクやれとは思わんけど、連携合わせるための何かはやってほしいよな
[828.682] u_cchi: メルトステラと2人のモチベとか諸々乖離してそう
[831.436] zetto7711: ゆきおとか選手じゃない方が人気でそうだからどうなんだろ
[836.351] hunbaa13: 言い訳はしていいけどそれで諦めて練習しないのはキツい
[840.034] gavrosu: 偽リドルことO7めっちゃおもろかった
[840.508] 橋本カンナビス_: oblyの優勝インタビュー痺れたよな
[845.342] (S)sugarrro: zetaの新人ゆらんは毎日15時間valoしてるらしい
[845.522] ameagari_417: それこそzeroとかじゃない？
[850.319] bkutoo: apexのproってほかのゲームする人多いよね
[851.237] syo7uuu: lolやりすぎやないとはおもってる
[851.814] たけざわ: メルトステラは結構やってたと思ったけど
[860.376] けーーしぃ: ゆきおは選手とストリーマーを反復横跳びしてて欲しい
[860.983] (S)dorayakinomattyazoe: まーフルタイムのプロやしなぁ
[861.489] jinpay: yuran15時間valoやってるらしい
[867.439] shigi0225: まあ見えてる印象以上に頑張ってるはず
[871.948] gavrosu: 2強時代が終わったのは凄い
[873.358] t_i_0106: 本番チームメイトビンタした説あるzeroとかやね
[876.476] 雨水ぺとる: 報告の感じでまだ伸びしろはありそうだったけど
[876.998] momotensam: いいね
[878.038] tumblerrrrrrr: まあそうよな
[878.575] akat2314: オーナーの立場はしんどそうっすね
[880.103] u_cchi: メルトステラ次第でしょ
[881.558] leblol23: 確かにvdkさんもミラーしてる時言ってたけど連携取れてないところあった
[881.966] tm_tora: いいますねぇ
[882.503] 竹輪蒲鉾_ちくわかまぼこ: プロリーグ来月からですね
[883.276] hunbaa13: メルトステラはランクじゃなくて、ずっと1人でミックステープ回してたね
[887.089] T4muh0n: キツーく叱って
[887.749] ameagari_417: DZはめちゃくちゃスクリムもほかのスクリム視聴もして努力してるしなー
[888.550] 橋本カンナビス_: 新レジェンドで環境激変しそうやし飽きずに続けて欲しいけどね
[893.259] su_gar__25: メルトステラのvalo転向も見てみたい
[895.656] oyasaiseikatsux: ゆきおだけやめそう
[897.603] ねんここ3: メルトステラはずっとランク回してるけどゆきおはトラッカー見た感じね…
[901.526] 999jazzy: 金っかてるからな
[902.683] redbullmonster7: 次の大きな大会はいつですか？
[903.164] da1320: まあ冷静に考えたら世界大会に行ってる時点で相当結果は出してるんだけどな
[911.535] まじめさん: 金渡してるのにちゃんとやらんやつはどうかと思うけどな
[913.540] alfredo_the_meat_boy___: こんぼどか
[913.567] hatutimo: リスナーが思ってるよりは頑張ってるだろうけどRCほどは頑張ってないって感じなんやろうな
[916.120] かまぼこ23: APEXのモチベ保つのキツそう
[916.602] takahouse: ゆきおやめたら結構影響でそう
[916.785] けーーしぃ: アジアでは勝てるけどな
[922.234] (S)mista1l26: 6月1日からプロリーグです
[927.082] はぜぼう: APEX2になってやばいよね
[927.468] 賽の瓦: まぁプロリーグ期間中にLoLやってるし
[932.566] hunbaa13: ずっとキツそうやったね
[935.553] tm_tora: 次の世界大会行けるか分からんよね 枠増えたとて
[935.976] たけざわ: ボドちゃんと言えてえらいな
[936.340] ankooisii_1: 適応でききれなかったもんね
[938.171] alfredo_the_meat_boy___: vodkav2Angryvdk
[938.998] T4muh0n: 変わらなかったらを見たいわ
[942.792] 雨水ぺとる: 本当にがんばってほしい
[943.363] taku741107: もう世界大会すごいの時期は終わってんねん
[944.183] da1320: それはマジでそう あの頃のいけいけリドルはどこへ行ってしもたんや
[945.755] snd44: DZ環境変わっても強いの努力しすぎだ
[947.060] alfredo_the_meat_boy___: vodkav2Angryvdk
[948.388] KABAYAKIGG: 本腰入れ始めないとか
[949.846] hunbaa13: 今のままだとヤバい
[952.525] ねんここ3: そうだね
[953.045] su_gar__25: RID456
[953.154] やんこつバーガー: BibleThump
[953.547] chachamarud: sp2ますますファイト環境になりそう、新キャラの性能的に
[955.882] moltn5922: あと新キャラエグい強いらしいな
[957.185] 賽の瓦: RID456..w
[957.993] kamioni_3011: お金出してる側ですしね
[959.357] u_cchi: アンチ傾向も変わって適応できてないね
[959.594] gol1ra_awp: 事実やもんな
[961.730] gavrosu: 新環境に適応できなかったのがね、3キーマウのAURの動きはおもろかった
[966.912] kuma_mimi_: メルトステラいてそれはない
[969.274] (S)mista1l26: RID456やめてね
[971.834] tm_tora: オーナー頑張ってください
[972.520] 橋本カンナビス_: 今のメンバー解散するってなったらRIDDLEからはもー作らん感じ？
[973.595] faiz20404: fnaticとかの報告量も学んだ方がいい気がするぞ 漫才並みに情報途切れんぞ
[975.722] HRdesuyo: コーチはどうすん？？
[977.951] anatyan3: プロだから練習して当たり前じゃないのか？
[981.704] かもとま00: さや姉ブースト信じてる
[986.359] alfredo_the_meat_boy___: TwitchConHYPE
[986.515] kazuma031100: けっこー悔しがってるから頑張ると思うけどなぁ
[986.916] kojun1025: WEアンチが全部北だったのもきついよな
[987.452] トマト18円: 21の呪いからは逃れられない
[988.921] chofu_2: 背ネーム入ってるユニフォームを販売する予定はありますか？ 
[989.172] hercury_77: rid456でも残留したぞ
[991.053] (S)shikaness: フナティックのVCやばかったよな
[991.288] su_gar__25: RID456でも入れ替え戦は行かなかったな
[995.284] wideking1206: 最近エペやってないけど結構環境変わったんだ
[997.090] ry10968: 韓国人はすごいな 韓国でapex全く流行ってないのに強すぎやろ
[998.207] shigi0225: 456…456ってなんだ…？
[999.402] shun_215: むかいは頑張っとるん？
[1008.281] bonjiri7: さや姉に練習しろって言ってもらうのが一番聞きそうw
[1009.728] pooh1234556: あっしーってなにしてるん
[1017.875] キューブってる: それはそう
[1021.292] syo7uuu: あつしはマネージャー
[1022.987] (S)mista1l26: プロリーグ期間長いからapexだけやれはしんどいけどそれなりにはね
[1024.718] karukonkonkon: 素人にアドバイスされるならやめた方がええわな
[1026.748] ry1234y: rcもaurも強い3mnkは結局連携がレベチ
[1026.821] momotensam: さや姉ブーストはまじであると思う
[1027.315] hunbaa13: 強い時のRIDDLEは普通にVCいいぞ？
[1027.324] kamioni_3011: もし辞めたとしたらapex部門は他の方と契約するんですか？
[1030.480] oia_01: ｗｗｗ
[1033.978] oia_01: たしかに
[1036.637] yomog1mochi043: 普通に今回の悔しい負け方やと思うで
[1040.339] alfredo_the_meat_boy___: www
[1040.786] キューブってる: おー
[1040.865] tm_tora: 悔しかった
[1042.523] chachamarud: マジで応援してる
[1046.127] gavrosu: メンバー全員悔しそうなのは伝わってる
[1047.161] (S)shikaness: むかいはコーチとしてめちゃくちゃいいと思う
[1047.294] natu0713: ボドちゃんこんちゃ
[1047.659] ezoharunobu: アンバサダーも付いたことだしね
[1047.840] kuhaku0000: 頑張って欲しい
[1048.023] su_gar__25: 負け方もな
[1048.643] moi__chan: いいね
[1048.803] marukoo1059: あと1ポイントってのもねぇ
[1049.388] 臭めのこかりん: BibleThump
[1049.551] (S)nnna25357337: ストポで2位だった試合の本気度とコールが常にあって、ちゃんと足並みそろえた連携取れればメンバーこのままでも行けそうな気がする、、
[1052.560] キューブってる: 珍しい
[1059.646] じぃじぃじぃ: 発破かけてくか
[1059.796] blooks_bro: 全力出して上で負けてほしかった。
[1060.076] ナーキー: まじで悔しかった
[1060.200] (S)trkn_3: 結構ガチで応援してる
[1060.224] 雨水ぺとる: 本当に応援してる
[1061.636] ankooisii_1: もっと勝てるメンバー出しね
[1061.915] ただのともや: あと1ポイントだしね
[1063.586] yomog1mochi043: 可能性あるんよな
[1063.747] KABAYAKIGG: 応援してくれてる人達結構いたよね
