[2743.175] supermonkeytm: クロスワイズがないのがね・・・
[2752.559] whiteface811: 必殺技が出したら楽しいに直結するのがいいですねスレイヤー
[2754.068] trick0918: セットプレイやって固めて崩すって感じだから…
[2759.640] tosihumi777: クロス欲しくなるよな〜
[2761.368] れなまる〇: xrdはシステムとの相性が微妙だったような気もする
[2776.141] supermonkeytm: 分かる
[2781.228] ゼロコーラとオノノクス: 古の記憶
[2784.053] trick0918: スレイヤーが一番強かった時期ってどこになるん
[2787.044] 雨傘あまね: エルフェルトとかも結構使いやすそうなイメージあります
[2791.189] tosihumi777: 分かる、とりあえずクロスでごまかしてたのもあるしw
[2793.318] (S)nasu5217: ザンッ！
[2798.368] shoji_jou: 技忘れないでおじいちゃん
[2799.874] _霧切_: あ、Dステみたら飛んでいいのか良いこと聞いた
[2805.811] juki_gb0122: ギルおじの踏み絵になりそう
[2811.736] ハトパン: クソキャラ列伝にも出てたスレイヤー
[2820.477] ジャム作るパンおじさん: Xrdは他がクソすぎ
[2826.448] れなまる〇: ハメとビッパーあった時代は強かった
[2832.742] trick0918: なるほど
[2854.969] kasyu58: ACも強かったけど青リロが印象強いわ
[2857.212] 雨傘あまね: スレイヤーPVとか見て思ったんですけどBGMもクソかっこいいですよね
[2862.177] shoji_jou: コクがある
[2863.958] すのうろべる: rv2の時胡散臭い中段にめちゃ駆られてました…
[2867.014] supermonkeytm: デンジャータイムとかいうスレイヤーの独断場
[2868.124] juno0220: 具 具
[2872.007] 西土筆: 使わないやつのセリフ
[2875.252] sanchaaaaan: スレイヤー初心者でもいけますかね
[2876.549] tosihumi777: 色んな動きがあってまだまだ混乱してます
[2878.769] しぼみ: こく
[2879.451] margarita_217: こく！？
[2887.264] ゼロコーラとオノノクス: 無敵付与はなかったけどステキャンがどう伸びるか
[2892.778] whiteface811: 令和のバクステ
[2893.642] miruujyu: こくまろミルク
[2900.787] shoji_jou: このゲームで昇竜無い罪デカすぎる
[2902.047] れなまる〇: バクステの性能はどんなもんだろ
[2903.871] munou_7851ae: 食べやすいしコクもある
[2906.150] ぬーーん: バクステ6Sあんまり強くなさそうだし
[2907.026] すのうろべる: 昇竜キャラ少ないっすからねｗｗ
[2911.710] anemoi_thyellai: 昇竜持ってないキャラの方が多いんですが…
[2915.523] juki_gb0122: 過去のスレイヤー使いで戻ってきて欲しい人とかいますか？
[2923.320] ゼロコーラとオノノクス: バクステ弱い疑惑
[2926.568] 雨傘あまね: ノーゲージ昇龍持ってるキャラって誰になるんですか？
[2928.622] ぷーむん: 言うて大会上位は昇竜ないキャラのほうが多かったりする
[2929.847] (S)raincoat214: なんだかんだソルカイブリのゲームになってる原因
