[343.960] (S)すれいまん: 配信前に設定しておけｗｗｗ
[344.183] サラバア: おお
[344.534] pondenring0930: ウメちゃんがベースだと！？
[344.922] べーこん118: うわすんごい良い音
[344.979] はしし11: おっさんまみれじゃねーかｗ
[346.553] セミコ: Dango The Beast
[346.555] (S)mm2351: いい音
[347.651] foo_twitch: 楽器もOKなウメハウス
[349.068] tsukikage_saga: おお
[350.283] (S)right_8: 変なユーモアの欠片も無さそうなオッサンいたよ
[350.304] TUBE_MAN: これはベースデブ
[350.867] chin_56_: ﾍﾞﾝﾍﾞﾝﾍﾞﾝﾍﾞﾝ♪
[350.952] burupapu: うおおお
[351.240] (S)gorogorogorn: D
[352.376] akittyan: わお…
[352.541] (S)You_nari: いいおとするなぁ
[352.601] umimiuumi: 良い音やなー
[352.771] v_harumi_v: 良い音ですね
[352.805] tsukikage_saga: チェックすげえ
[353.221] なかむら0307: いいねー
[353.431] (S)てべす1103: 戦国時代の人！
[353.699] myodent21: かっけえ
[353.872] (S)popo8322: もうかっけぇ
[353.889] afuring: 音仕上がりすぎでしょ
[355.521] べーこん118: ジャズベのすごい良い音
[355.594] sussy_int: ギタリストじゃなかったのかよ！
[355.646] ちぇんぷる: 渋い音
[355.736] もなもな87: なんでウメちゃんいきなりベースなの？？？
[356.835] olivemocomichi: 戦国時代じゃん
[358.159] jacknohimatubusi: いい音する
[358.553] monen_tofu: おっさん渋滞中
[359.123] takahashiseigi: 手癖ミート
[359.304] 泣き虫サクラ: ウメハラはベースかドラムのリズム隊だと思ってた
[359.992] inkgran: さすがやなベースデブ
[360.189] kami4genjin: なんでベース？
[361.243] ve968: なんかウメさんかっこよくね？
[365.015] tatatatady: 音めっちゃいいな
[365.560] BISAI3: いいねぇ
[365.969] (S)fahmy0825: wow Daigo will play?
[366.366] umao210: まじ似合うぜ
[366.477] sh1zuku716: 135万！
[369.320] burupapu: ピカピカ
[370.672] kiiuyyy: 指鍛えるためだよ
[370.938] 遼は肉が好き: 繋ぎ方見てあげてwww
[371.052] アザミノ: 綺麗なベースだ…
[371.160] umimiuumi: やっぱベースかっけえ〜
[372.678] (S)mm2351: 流石に木の鳴りが違ぇな！
[373.339] kumomaru_masa: 画面いっぱいのおっさん。可愛いね
[373.364] (S)kropt96: フェンダー！
[373.694] 45tm83: 左手の指を鍛えるためだよ
[373.697] (S)jitaabagu: 似合うねー良いね
[374.308] (S)闘劇のアルベルト: はいかっこいい
[374.601] (S)~MISSING_COMMENTER_INFO~: ウメハラ、バンドやるってよ
[375.519] astro5dasher: フェンダー？
[375.633] burisuke: カッケーじゃんねぇ
[376.075] (S)一1990: 薬指の訓練のためらしいです
[376.566] sikusi: 世界一のギタリスト
[377.603] nkmr0518: ひじ掛けとろう
[377.750] いがぐりころころ: チューニングもしてくれる
[379.729] myodent21: ウメちゃんサマになってる
[380.097] fat_design: 135！！！
[380.291] icyblue1985: 薬指鍛えるのか
[380.921] もなもな87: アームレストの椅子相性悪いからやめたほうがいいぞー
[381.327] kamiya1979: 昇竜拳の指の練習？
[381.398] sh1zuku716: 135万ベースって経費になるの？
[382.560] (S)shir039: だんごさんから戦国時代の話ききたい
[383.261] condol456: 左手鍛錬の為
[383.314] (S)haicro_zm: はじめてのベース
[384.399] valhalla5555: ウメハラはベースで遊ぶ
[385.543] (S)gyu_nyuu_pann: かっこいいね
[388.097] (S)しゃくれ: ストラップ買ってないのか
[388.914] beehive3: ウメちゃんベースっぽさある
[389.195] ve968: ウメさん似合うねw
[390.308] (S)maya_g01: ミュージックマンかな
