[888.839] spider_n: 流石にチーム変えないとかな？
[890.988] from_9t: 毎回バカ強いとこに予選でぶち当てられてんのよな
[899.112] koirudayo: HYUNMINのACS380のマップあった
[899.979] senseihangeki12: FAVあのメンバーで負けるのはメンバー変えそうっちゃ変えそう
[900.736] keita0704: みんてぃ報われんな
[903.407] ksusdmh: ボドヒュンミンとか知ってるんだ
[904.392] あとたろ: こんばんです
[905.950] ruhq1234: しらんけどfavのチームメイトあわないんじゃない？こんなけまけてるってなると
[906.722] yay0i_p: ちなみにHYUNMINキャリーしてない試合も普通に負けてた
[907.426] maiku111: SCARZ日本チーむなのにメンバーおにつよいのやめてくれ
[912.585] mirimu0: FAV呪われてる
[912.707] tourimonp: スクリムの話？
[916.652] tabuchi777: FAVスプ1前の大会も準優勝してたのに
[918.494] 08seryu: bazzクソ強かった
[931.302] tabuar: FAVまじでお祓い行った方がいい
[933.760] maruuuu823: こういうの見るとzetaとかがいかに上にいるかがわかるな
[934.924] ggotsu: あまりにも予選抜けれなさすぎてる
[935.777] (S)本田翼のファン: vodkav2Faceup
[936.581] ankooisii_1: 一回勝ったのに
[940.336] gedoyama: ムラゲここで落ちる可能性全然あるの怖い
[942.968] ruhq1234: そっかあ
[943.182] ぐりーむ6: cgzにリベンジされた
[945.177] syotowa0414: 格ゲーと違ってWienners有利なさすぎるな
[945.682] imokorori: tenten結構波あるんよなー
[948.119] maiku111: MInty;;
[949.141] こんにちわとそん: TSと戦ってなかったっけ？
[950.442] senseihangeki12: 一回勝ったのになぁ
[950.596] PecSmil901: ルーザーズの方が上がりやすいか
[954.358] yk177228: ほんとクジ運ないなfavは
[958.163] n4siki: うわー
[958.919] ゆゆたろう: でも2年上がれてないのは実力やないの
[960.517] fine2980: CGZと互角だから再戦したら負ける可能性高いよね
[963.031] byashi_: オフシーズンとはいえ実力は証明済
[963.043] suyu_namin: valoのwinnersは渋いからなぁ
[966.007] yamatotakeru777: ほーう
[966.203] pika0427: 逆にRIDはよく勝ち切った
[967.036] liberty_ne: リドルオーダーイグジストに勝てたらバレルわんちゃんある
[970.240] twitch_food: そゆことか
[971.666] ksusdmh: きつすぎ
[972.703] tabuar: sp1はtentenの事もあったしね…
[974.896] ggotsu: Wiennersの優位性が無さすぎる
[975.403] yay0i_p: 同じmapピックしたFAVも悪いやろ
[978.341] pasta200468: bc落ちてるのも結構えぐい
[979.022] urarakyuru: winnersも一回負けていいことにしてくれ
[981.160] cheeseUnadon: favはkr2枚積んだほうがいいよ
[983.407] masaki_106: コアメンバー変えたらすんなり勝てそう
[983.745] らむぽっぷ: あまりに無さすぎる
