[4952.130] yomi43_: 4以上の敵は一人だと効率悪いw
[4968.047] (S)ちむちー: 大忙しｗｗｗ
[4972.608] (S)sixfutaba: ｗｗｗ
[4973.088] (S)おばらら: ｗ
[4973.089] (S)ふここ: ｗｗｗ
[4975.385] magure122: www
[4979.347] (S)ちむちー: 船だ～～～
[5030.391] frachannnn: ４分あれば行ける
[5038.198] YomoTaso: いける
[5038.563] adaimae: いけそう
[5041.781] YomoTaso: かけよう
[5055.860] さりゅとん: さすがに怖いｗ
[5069.424] purin4011: 二兎追うものは何とやら
[5092.283] adaimae: 船足りなければ待ち時間追加きそうだけどね
[5203.331] かんぜ: キャラクターから見れます
[5206.409] enro_stargazy: マイキャラクターのクラスジョブラン
[5208.442] fps_kalbee: C押してジョブ
[5209.091] gozen_reiji000: マイキャラクターのクラス・ジョブ？
[5314.295] (S)かなるな: 🐘さん間に合った
[5329.698] (S)かなるな: 金？
[5352.791] (S)chiikoma: いてらっしょい
[5363.095] さりゅとん: がんばえー
[5366.433] pariiiin: ボズヤは元々ダルマスカ編もあったけど没になったという噂
[5373.301] (S)ちむちー: 船好きだったな～～ 
[5382.285] (S)かなるな: tonaka2Penraito
[5382.442] タガヤシ: 蘇生要因確保と
[5419.108] (S)natu_mikan_32: 師匠、MTよろｗ
[5427.633] osatti88: 他にやりたい人がいるかもだもんね
