[1073.504] 伝書鳩いのっち: ええやんええやん！！
[1074.450] ひとにぎりぃ: 前来てたとこか？
[1074.734] と0てノ: やばいまともや
[1075.360] kinotake_26: おおおお
[1076.522] kota_mochi0822: いいね
[1077.085] super_new_nendo: レモンはがち
[1077.755] かみのすけ: ほたて！？
[1078.572] mew3v: コメは？ww
[1079.550] KANEGOONMK2: ちゃんとできそう
[1079.568] lisdil8: 一応貝類も確保
[1080.077] yottando_o: 海鮮あつい
[1080.956] akahige9280: いまのところ完璧や
[1085.299] super_new_nendo: ホタテ⁈
[1086.173] kota_mochi0822: まともすぎない？
[1089.066] doggo813: ムール貝は！？
[1094.226] kuros46790: あ
[1094.635] 伝書鳩いのっち: ほんとにさぁｗｗｗｗ
[1097.813] lionelmessi4545: は
[1099.521] ~MISSING_COMMENTER_INFO~: www
[1100.014] 徳のイイ緑茶: 米とブイヨンは？
[1100.195] aphelios_4: ｗ
[1100.325] のうきんちゃん: ？？？？？
[1101.297] 1jz_o: はい
[1102.626] mm_kos: 出たよw
[1102.815] KANEGOONMK2: そういうとこや
[1103.323] akahige9280: は？？？？
[1104.358] 美味しい肉食べたい: wwwww
[1104.721] kinotake_26: ？？？
[1105.863] ただのともや: wwww
[1106.145] super_new_nendo: は？
[1106.171] ぱきお: おわったｗ
[1106.353] sonefia: ？
[1107.406] tomoomot1231: ？？？
[1107.722] いつくしま: NotLikeThis
[1107.845] psyduck_cu: www
[1107.993] mew3v: え
[1108.549] kota_mochi0822: wwwww
[1109.116] まぴもぴ: さむね…？
[1110.392] additive0: wwwwwwwww
[1112.119] スギウラ: ？？？？？
[1112.725] (S)きょんた85: ｗｗｗ
[1113.379] クレヨンパステル: 終わった 
[1114.952] kuros46790: ぐちゃぐちゃなるって
[1115.323] と0てノ: ヘンディーいいぞーｗ
[1117.724] mew3v: タイ料理じゃないよ
[1117.858] hekominn: GG
[1119.095] じぃじぃじぃ: YouTuber出てるって
[1119.310] ほろすと: 地域ちがうんよw
[1120.708] mirukure0610: ？？
[1122.276] らずきち: お湯入れてじゃなく・・・か
[1123.144] akahige9280: サムネイルwww
[1125.166] のうきんちゃん: 案件？
[1125.831] lisdil8: www
[1125.874] okosama_luncher: ほんならエビしか持ってきてへんやないかw
[1126.193] ぱきお: 味決まっちゃうよｗ
[1127.238] ボン太郎: ｗｗｗ
[1128.263] aphelios_4: ｗｗｗｗ
[1130.065] 伝書鳩いのっち: ｗｗｗｗｗｗｗｗ
[1130.164] yu_777_god: ｗｗｗｗｗｗｗｗｗ
[1130.903] iiikmiii: 料理の地域かわってるw
[1133.888] 伝書鳩いのっち: タコスやんｗｗｗｗｗ
[1134.236] srtdehew: youtuberが出てきたな
[1135.298] らずきち: ｗｗｗｗ
[1135.298] super_new_nendo: じゃあなんでエビ持ってきてんだw
[1135.659] 徳のイイ緑茶: いつものへんでぃーだった
[1136.304] mew3v: タイとスペインです
[1137.222] 美味しい肉食べたい: wwww
[1138.236] ぱきお: ｗｗｗｗ
[1138.534] kuros46790: あ
[1141.068] Rou49671: タコス作るんかw？
[1141.578] lisdil8: やってるわ
[1142.961] bichigusomal: www
[1144.032] lionelmessi4545: wwwwwwwwwwwww
[1144.646] b0tchi_a_botchi: wwwwwwww
[1144.826] はおちゃ: ｗｗｗｗｗｗ
[1145.918] ほろすと: いろんな国混ぜんなw
[1146.167] (S)きょんた85: ｗｗｗｗｗ
[1146.291] iiikmiii: wwww
[1146.407] mirukure0610: ドリトスwww
[1146.612] kota_mochi0822: やってるwww
[1147.462] hekominn: いついれるんｗ
[1147.561] トメイトゥ: 多国籍すぎる
[1150.863] と0てノ: いいねーｗ
[1151.360] mew3v: まーそれはあり
[1152.096] kikichan917: おおw
[1153.012] alfredo_the_meat_boy___: syncth3CatCrunch
[1153.229] KANEGOONMK2: 砕いたらワンチャンあるか？
[1153.277] super_new_nendo: 嘘だろ
[1153.611] のうきんちゃん: 2択かぁw
[1154.890] charlie_drk: 砕いて入れるんか
[1154.898] じぃじぃじぃ: こいつらw
[1155.123] ぱきお: 謎の共鳴ｗ
[1155.391] kuros46790: 別の国やってｗ
[1156.306] sonefia: 意外とうまそう
[1156.556] glicoxxx: 多国籍パエリア
[1158.918] kinotake_26: ズッキーニか茄子欲しかったなぁ
[1159.437] kota_mochi0822: でも美味しそう
[1159.683] しょーぐん: shinjisanNotlikethis
[1160.110] iiikmiii: 急に多国籍になったってw
[1167.940] スギウラ: 急に濃くなってきた
[1171.870] mirukure0610: 意外と美味しそう 
[1171.896] mew3v: タイメキシコスペイン
[1180.657] nottariiiii: メキシコとタイとスペインとと
[1187.166] KANEGOONMK2: しんじが1番真面目枠か
[1187.544] じぃじぃじぃ: そうかな…そうかも…
[1193.487] rmcctt: ヘンディー座り方かわいい
[1194.524] しょーぐん: ｗｗｗ
[1201.034] lisdil8: でっけえ貝欲しかったな
[1201.691] newoyag: タキシコペイン
[1206.934] Takash1XD: 米洗え！！
[1231.025] lionelmessi4545: ぱんぱん
[1232.671] deepbronze2: ええて
[1235.280] ボン太郎: 煮るのに時間かかるだけか
[1236.142] KANEGOONMK2: パン！パン！
[1240.070] 伝書鳩いのっち: えっど
[1240.291] additive0: えっど
[1242.184] クレヨンパステル: グングンピーン
[1244.190] じぃじぃじぃ: 米なのにパン
[1247.877] のうきんちゃん: でっけぇ回は映えはいいけどキャンプだと殻が邪魔そう
[1248.173] newoyag: 🏨
[1251.744] sho0528asdfg: ヘンディー寝てる？
[1256.447] alfredo_the_meat_boy___: えっど
[1261.405] ボン太郎: ｗｗ
[1265.164] みこと0000: 無洗米じゃないなら洗ったほうがいい
[1269.786] のうきんちゃん: ナニ触った手かわからんよ
[1269.941] りるしあ: vodkav2Angryvdk
[1270.269] ただのともや: それはそうw
[1270.617] (S)きょんた85: ｗｗｗ
[1272.998] ボン太郎: あむｗ
[1275.957] と0てノ: ｗｗｗｗ
[1278.968] okosama_luncher: あむかわええ
[1280.876] kota_mochi0822: アムおすわりしてるてちゃめちゃかわいい
[1283.425] ぎんじろう: あむかわいいねぇ
[1289.445] zenmeime: アム〜
[1291.389] じぃじぃじぃ: アム大人しいねぇ
[1293.310] lisdil8: あむほんまええ子やな
[1295.328] poko_sann6: あむかわいすぎるだろ
[1295.545] らむぽっぷ: 無洗米最強
[1295.875] じぃじぃじぃ: 流石にね
[1296.166] iiikmiii: あむ可愛いー
[1296.181] ただのともや: カップラーメン洗った？
[1296.496] doggo813: さすが
[1298.297] mew3v: 無洗米やとそもそも洗わんw
[1299.711] deepbronze2: アム～
[1303.422] alfredo_the_meat_boy___: しんじかわよ
[1308.017] もちゃえす: 犬めっちゃデカなってるやん！
[1308.584] mirukure0610: さすがおぼさん 
[1314.264] tanaka7782: 全然知らんやん
[1314.698] クレヨンパステル: パエリアは米洗ったらあかんからね
[1315.421] o_renzi_kon: アムお利口過ぎない？
[1315.782] newoyag: 懐かしいな
[1316.208] kota_mochi0822: うろ覚えすぎるwww
[1316.877] kinotake_26: しんじさんが1番信用できるな
[1319.166] arlingtonnnnn: おぼの回線安定してるな
[1321.098] KANEGOONMK2: 良いtシャツ
[1321.375] じぃじぃじぃ: 歌枠助かる
[1322.505] lionelmessi4545: 玉ねぎ落とすなよ！アム食ったら大変や！
[1322.526] まぴもぴ: 全部なんとか
[1322.727] okosama_luncher: あ
[1324.273] のうきんちゃん: レモンもあるしレモンも歌って
[1327.133] iiikmiii: apex部門のTシャツだw
[1329.926] (S)mci_foden: お歌たすかる
[1334.739] kota_mochi0822: 見えてるよ〜
[1336.254] mirukure0610: ちゃん見えてるけどな
[1343.303] じぃじぃじぃ: たまーにとぶね
[1344.606] bichigusomal: ボドさっきちんポジ直してなかった？
[1346.072] のうきんちゃん: まぁそんなに悪くない
[1346.269] lisdil8: ギリ耐えてるよ
[1348.292] かみのすけ: ちょいちょい止まる
[1350.500] しょーぐん: ボドの方だけちょっと不安定かな
[1353.893] ケダ: 豪快
[1355.937] kuros46790: まあ電波悪いのはしゃーない
[1356.712] mew3v: ４８０ｐやけどみれてる
[1358.756] charlie_drk: ボド山きんに君
