[2252.008] _ソリス_: 憧れはよくないって親に言われてる。ちゃんと考えろって言われてる。
[2259.327] kedama_man: それが実力
[2267.346] corgi_green: 憧れるのをやめましょう
[2271.988] ディスタンス津田: ランク一つ下の大学でもそこで活躍すれば問題ないからな
[2272.798] shiiiitake_Mt: でも浪人してみな分からん話
[2278.599] kabukisanteam: ボドカの社会人経験の話聞かせてくれ
[2280.430] takahouse: 推薦でいい大学入るのが1番コスパいいことに気づいた
[2286.330] (S)でーれー: 心の支えが勉強だけになるの結構えぐい
[2332.276] (S)suuute: チャレンジする余裕も
[2335.593] wonderboy_9: 就活でってことか？
[2341.065] Lavaandpeace: 浪人したとしても一緒に勉強する仲間いないと絶対身も心も堕ちる
[2344.404] すみえ: やっぱり勉強はした方がいいね
[2359.570] shiiiitake_Mt: 勉強しろ！
[2360.405] salazao_: 七月から社会人です。喝を入れてください
[2369.644] 7magari_ships: 部活も終わるしなそろそろ
[2371.529] wonderboy_9: 就活生にも渇してください
[2374.561] ppbridgeqq: 就活って苦しかったですか？
[2374.777] beru_0621: 頑張ります‥
[2374.847] 友達の弟の友達が優しい: 今からでも間に合う
[2377.846] ahiruchann: 英語数学からや！
[2380.389] kabukisanteam: 私立文系なら浪人なんかせんやろ
[2382.536] ばぁぁあ: 進学すべきやったなぁと
[2383.304] フールツパンチ侍: ここに高校生いるのか？
[2384.081] kabukisanteam: 三教科しかないのに
[2391.476] (S)kazaha_zazazaxf: せやな
[2398.618] ぬたみ: VDKは勉強とCOD配信どっちが今の糧になってる？
[2399.402] cenbox: 英語は早いうちにした方がいい
[2400.723] kaha3s: ここらへんから模試で差が付き始めるしな
[2404.290] igo_mansam: 夏を制するものが受験を制しますから
[2405.458] (S)ビーストたかはし20: 一旦ドラゴン桜や
[2406.584] kouiocha: ライバルいるといいよな
[2408.882] nakiri914: 受験の話やめようぜ、、
[2420.678] htomato_99: 三年くらい前に聞きたかった 
[2425.343] shiiiitake_Mt: この時間に高校生いたらまずい
[2430.981] wonderboy_9: 配信者を人生のロールモデルにするのは止めとけ
[2431.032] maa_bkm: Fラン大浪人して親に迷惑かけまくったから仕事だけは頑張ってそこそこのキャリアになったから大学ミスってもどこから頑張るかかな
