[405.054] kagamind: ｗｗｗｗｗ
[405.160] (S)マラリンティウス: 魚群はもう群れなせない…
[405.968] (S)あばない: 一匹の魚ってかっこいいな
[407.750] booooo4026: 棄権だね
[408.367] khaaaki: ww
[410.132] (S)がすいんニキ: 群れじゃないw
[411.451] 趣味垢0817: 草
[415.196] ﾁﾙ: どんだけみてるんだっていう
[415.984] 馬のしっぽ: ひどいｗｗ
[416.202] SuperMaguro: スイミーなるお
[417.644] あきがクラ: 熱気やーば
[418.353] (S)ミメイ_: 孤高の魚
[419.419] roziurara: ただの魚
[419.530] nano0616: スイミーなるお
[420.270] mhs1528: 群ではないな
[420.769] X_March_X: わからないからこその
[422.501] (S)basiclife123: あつそう
[422.544] 愛たつや: ありがとです
[423.479] yuyuoki: naru04Hiji2
[424.165] (S)gokan_sanpo: お前が目になれ
[425.852] Tummy069: なるお何時から？
[426.711] (S)アイネ_: なるおさんファイト
[426.754] hool2423: 体調不良だったり色々あるしな
[426.804] 毛むくじゃらのコリー: 544いたんだ
[427.090] mappy111: ボランティアすごいなぁ
[427.864] morimorione: disqualifiedね
[428.969] (S)tamukantamu: お前がスイミーだ
[429.553] ﾁﾙ: 魚群の亡霊 なるお
[435.449] (S)がすいんニキ: スト6動かせたりしたの？
[436.430] (S)yaminoiiii: いつはじまるの？
[436.511] shisyo39: 申し込んだけど夜だからこれないってこと？かわいそうだな
[437.311] nano0616: なるお｢僕が、僕が魚群の目になるよ！｣
[437.613] ocelotnotaisho: スイミーｗｗ
[438.884] teruu2: まあ5000人いたらね
[440.413] (S)あばない: ザックスもいますと
[441.161] (S)たけお926: なるお人気すぎてなるおのプールの人偉いことなってる。モニタ見えない。
[441.171] kurohata300: スイミーなるお、お前が目になれ
[444.023] あきがクラ: 声援がいいねー
[445.634] AntiFusion: o7
[447.388] (S)ありがたかし: なるちゃんファイト！！！
[451.801] (S)進研ジェイミー: Dotabata Qancle
[453.521] (S)459dmaito: ボタン配置だけは気をつけてね！
[454.861] (S)だぼあぜ: 今南国の鳥みたいなの鳴いてなかった？
[454.996] hs19840706: 魚群スピリットカマしちゃってください
[459.081] みりんあじさん: スイミーは考えた
[460.756] えいす7: ｗ
[461.730] (S)u_ta1224: u_ta1224 subscribed with Prime. They've subscribed for 2 months, currently on a 1 month streak! 
[463.346] Vakanori1: お前クネクネしてるのなかやんの配信でバレてるぞ！
[464.540] booooo4026: これみんななるお見にきてるのか すごい
[465.308] (S)白岳: これは売れてますわ
[466.273] (S)ミメイ_: なるおさんどこまでもゆけーーーい！！！
[467.633] (S)がすいんニキ: なーに言ってんだ！2350ジェイミーだぞ！自信持って！
[470.083] あきがクラ: 人やば
[473.262] light0909x: なるおっちこんちは！
[475.067] (S)アブーラ: がんばれ！！！
[475.766] ﾁﾙ: 対戦で群がってくる人がいるの、売れたなぁ
[475.888] (S)なるおに命捧げたい: 今からなにするのーー？！
[481.194] (S)マラリンティウス: 楽しみだ
[481.322] 趣味垢0817: 何時から？
[481.587] SUGAKIYA: 今北から状況たのまい
[482.532] (S)gumi1234gumi: gumi1234gumi subscribed at Tier 1. They've subscribed for 4 months, currently on a 4 month streak! 
[485.694] 7qojisan: 最強ジェイミーゆけい
[487.613] (S)gokan_sanpo: セコンド？！
[487.777] morimorione: 2350ジェイミーなんだから３日目に行ってもらわないと
[488.829] lucky_shocker: mago2dJett
[489.144] (S)もふもふ食パン: なるちゃん信じてるよ〜('w')
[489.454] Vakanori1: なんかいたあ！
[489.527] (S)くらげ1030: 元5位だからいける
[490.270] m1s4m0: うぃー！！！
[491.271] あきがクラ: バカ人見てるやんけ
[491.436] (S)04popoo: 全一のいったれえええ
[492.689] nano0616: 魚群は4んだ！もういない！で覚醒する天元突破グレンナルオみてえ
[492.794] (S)くろりんだよ: なんかいる！！
[493.201] (S)yukapero_14: なるちゃんゆけーい！
[493.780] ライム_: ぺぺカメラ
[493.802] (S)basiclife123: ひとおおいな
[495.199] tata0123456: どれみどぉぉぉおおおおおおおおおお
[495.420] ちむちゃむ: まごーら♡❤️にやにや(๑¯ω¯๑)❤︎に
[497.174] roziurara: マーゴ
[497.357] キャラメルラテ12: まごさーん！
[497.617] (S)たんや王: naru04Doku
[498.295] (S)可愛い嘘のカワウソ: 可愛い嘘のカワウソ is gifting 5 Tier 1 Subs to なるお0419's community! They've gifted a total of 48 in the channel! 
[499.214] (S)可愛い嘘のカワウソ: 可愛い嘘のカワウソ gifted a Tier 1 sub to maimay61! 
[499.250] (S)可愛い嘘のカワウソ: 可愛い嘘のカワウソ gifted a Tier 1 sub to bowabowa999! 
[499.256] (S)可愛い嘘のカワウソ: 可愛い嘘のカワウソ gifted a Tier 1 sub to うどんちゃんだお! 
[499.268] (S)可愛い嘘のカワウソ: 可愛い嘘のカワウソ gifted a Tier 1 sub to matiasuy! 
[499.493] (S)可愛い嘘のカワウソ: 可愛い嘘のカワウソ gifted a Tier 1 sub to onimomosan! 
[500.172] hal_2a: I have mago
[500.407] (S)kame3_shun: めっちゃおる〜
[500.584] morimorione: アイハブマゴやん
[501.204] m1s4m0: mago2dSmile
[501.396] nodo_shiko_nama: 兄貴がいる
[501.665] (S)えむしーぽんぽん: ヴァロさん！？
[501.957] SuperMaguro: わあ！？
[501.991] (S)roval789: マゴさんセコンドか
[502.272] yopiiiiiil: まごさん
[502.518] (S)がすいんニキ: マゴさん🫶
[503.352] SUGAKIYA: あｗぁ
[503.864] (S)ハイドレンジア: マゴさんいたぁ
[505.306] uemanpei: なるおがんばれ～
[506.524] (S)lvr3333: ところでマゴさんはどこ？
[508.148] rumble0824: まーじか
[508.164] 0aiueo_oeuia0: 無職がんばれ〜
[509.374] (S)白岳: なんか女多いわ
[509.671] (S)やくりのやっさん: 売れたなぁ
[510.035] mahoro_ch: まーーーーじか
[510.041] サカザキ: すごい人だ
[510.144] ocelotnotaisho: マゴさんのは？
[510.214] khaaaki: ギャラリー多いね
[510.821] roziurara: 大人気コンテツ
[511.205] (S)knock_fg: 売れすぎ
[511.902] (S)simetu_no_maeba: すごぉ
[511.971] kanato_twitch: 囲みすごいｗ
[512.010] あかなめ: ファンバカ？
[512.598] wacky0000: 自意識過剰かもしれない
[512.766] (S)えむしーぽんぽん: 兄貴セコンド頼もしすぎる
[512.798] hyakuoku: うれちまったな
[512.983] kkshkk: 取り締まられ役いたぁ
[513.168] nanashi644: すっごい
[513.235] (S)くろりんだよ: ファンバカ？！
[514.871] (S)makanasi4: makanasi4 subscribed with Prime. 
[515.684] (S)ジャスパ単騎待ち: なるガール多いな
[516.042] morimorione: なるお売れすぎ
[516.065] (S)04popoo: 凄すぎ
[516.226] Vakanori1: 男ばっかや・・・
[516.270] (S)miyami022: ひとすごい
[516.798] kantya01: マゴさんとなりにいる
[518.123] (S)serah_4351: すご
[518.230] (S)きそば: 仕事してファンサして今から対戦大変やなｗ
[518.676] (S)だぼあぜ: やば
[518.911] amumurin_: 売れすぎw
[519.108] rumble0824: ギャラリーの圧
[519.425] hikky55: 売れてます
[519.608] m1s4m0: マゴさんはウィナーズ抜け
[519.685] (S)kame3_shun: ファンボファンガ多すぎっす！！！
[519.776] pepegaaim3: ファンバッカ
[520.381] twitch552: ずっとファンサしてたしなぁ
[520.540] narumeron: 売れちまったなぁ
[521.047] mitsuo157: 変わっちまったな…
[522.680] カットマン: 彼は遠くにいったよ…
[522.974] sakusarank: 凄い売れたな
[523.498] ﾁﾙ: 無職にこんだけ人ってつくんだな
[523.985] テンカワ: なるおサブスク3000人いるからそりゃあね
[524.665] (S)tamamowkun: ギャラリーね
[525.115] unajyuu810: なるお軍すっごｗ
[525.238] ちむちゃむ: なるおあいてだれ？
[525.285] khaaaki: 売れたね
[525.344] shiyuponz: ファンバカ
[525.454] gannjinnwajo: ぺぺはしゃべんなくていいから
[526.095] X_March_X: まごぼう
