[1878.551] (S)サメカツ1999: umeBoom
[1881.498] ジュン0408: じゃんがらで早食いじゃないのか
[1881.939] simple_geek: umeYay
[1882.173] aka_bbtc: MAXさんの最近の動画で寿司１００貫で５分くらいだった
[1883.115] (S)himeguma_ma: umeYay
[1883.788] sai_arts: えいたさんに期待
[1883.808] (S)blackmark2: もう4300
[1883.987] hasekin7: 始まらない、、まだぁ？？
[1884.682] (S)zappnn: umeYay
[1886.039] obo_006: ウメさん結局今日のために新幹線って何だったんだろう
[1886.137] (S)oooooooosho: oooooooosho subscribed with Twitch Prime. 
[1886.229] (M)Moobot: @OOOOOOOOSHO with the Prime sub!
[1886.242] (S)hekil3000: ウメハラがんばえー
[1889.138] ~MISSING_COMMENTER_INFO~: umeYay
[1889.422] shikuramandam: MercyWing1
