[1377.717] kumanobed: ABどっちも激戦だと思う
[1382.286] _こぺ_: sakoさんとりゅうせいはほんと同じプロック入るなw
[1392.588] wente0: 早食いは仕上がってるの？
[1408.208] Umechan55: ラシード対策で一気に３勝狙えるからウメちゃんはむしろ喜んでると思うね
[1410.423] c5e2pzzlthnh: Is this Eminem's new song?
[1424.504] prototypeie: 痩せた？って言われ続けるとホントに痩せるってマジ？
[1429.802] Sorachan1144: 早食いってLIVEなの？
[1439.281] ghostofnavigators: What is the next tournament you will go to? @DaigoTheBeasTV
[1443.466] sh1zuku716: Aの方が誰が上に上がるか予想できない
[1451.138] (S)non_violence: エド戦はがいるよりカゲの方がよくないかい？
[1457.874] adamsmokey: 早食い楽しみすぎる
[1466.605] videoneon: SutoV wo shimasu
[1469.659] _こぺ_: 痩せた？って言われ続けると安心してサボっちゃうわ
[1469.890] (S)~MISSING_COMMENTER_INFO~: 春麗もガイルよりカゲのがいい気がする
[1470.784] crash_fgc: will the real Daigo please stand up!
[1475.607] Umechan55: ももちが参加したのはいいね
[1494.953] 斉川: ももちがウメちゃんに何出してくるか
[1499.441] ghostofnavigators: What is the next tournament you will go to? @DaigoTheBeasTV
[1503.655] lyo0822: 春麗にはリュウがいいって本当？
[1504.979] nia_yasuraka: 最近はジム行ってますか？
[1507.802] shupii0907: 春にカゲはさすがに
[1512.253] (S)fj_honey: ももちって今なんキャラつかい？
[1512.263] (S)user81023: umeGrin
[1516.629] ギュウタン: アゴの周りがスッキリした気がする
[1521.285] (S)user81023: べるぎー！
[1521.369] kusanagi0825: 滅
[1522.272] crash_fgc: NCR?
[1522.326] (S)~MISSING_COMMENTER_INFO~: ガイルで春麗きつくないかい
[1522.885] c5e2pzzlthnh: Belgium
[1524.804] Kanquez05: 昨日のカワノはももち見てるみたいだったねー
[1528.054] Bakobako1234: 糖質抑えてるみたいだけど食物繊維は摂ってね
[1531.917] akiaki0612: pc買うの？メンテおじルームから大会でるの？
[1534.163] (S)user81023: やせたのうた
[1535.194] yamame: ｗ
[1536.312] danny_love_danny: めでたいーー
[1539.939] Umechan55: 半袖！？
[1542.811] kanegon7237: ガイルみたいにムキムキになろうよウメちゃん
[1545.017] tabibitox: やせた～♪やせた～♪
[1550.355] (S)べーこん118: 痩せたの歌
[1550.778] thedicanio74: kage or guile for tournament ?
[1552.025] Umechan55: 室温何度で半袖なわけ？
[1552.437] (S)montre0001: まあtopangaよりcpt重視でお願いしたい
[1553.023] sh1zuku716: 痩せてまたすぐ太るのはやめてぇ
[1554.040] salifuas: リーグ前に調整入っちゃうんだっけ？
[1560.355] gajpmwtdpw: ウメちゃん流石にちょっとだけは英語読めるようになったか
[1564.487] hosp1990: 腹周りがラスボス
[1567.210] orange88: スーパーリバウンドしますように
[1568.306] (S)べーこん118: お酒抜くの意識して痩せたの？
[1571.296] gnshot: こんにちは
[1575.195] lyo0822: 金さんはリバウンドしたんだっけ？
[1587.511] 斉川: セスももうすぐ来る
[1589.085] meganesandesuyo: 2013evoのウメさんの動画みたら別人にしか見えませんでしたww
[1592.163] sh1zuku716: 太ってた時期は毎日お酒飲んでた？
[1599.507] ツキハナ: こんにちは
[1600.947] (S)~MISSING_COMMENTER_INFO~: セスくるし調整あるし楽しみ
[1603.635] shiyastawoman: umeGrin
[1604.019] Umechan55: guile
[1607.156] nia_yasuraka: ほんと痩せててすごい
[1609.905] niconico_bakamoo: Daigo!!!!!!!!! Yandeeeee
[1613.749] (S)日本語かな: 調整入るとは公式でアナウンスされてなくない？
[1614.938] lyo0822: おじリーグは見ますか？
[1618.743] garouakira: ウメちゃん今日は予定あるの
[1628.102] (S)サメカツ1999: 手よくなった?
[1628.155] parukabu: 体脂肪いくつ？
[1630.483] (S)キタちゃん: 更なる高みへ
[1631.799] _こぺ_: 体脂肪何パーまでいく？
[1632.785] (S)totomaru_chan: お腹周りも多少はすっきりしました？
[1633.406] kimie_white: 40キロ台乗せたいね
[1633.500] oinari6: 歴代のダイエットで一番成功してるっぽい？
[1636.147] akiaki0612: 痩せるのだけ出来ないって言ってたけど、ついにできはじめたね
[1637.266] odaji2351: まああああじか
[1638.141] (S)べーこん118: ウメちゃんストイックモードに入ると極端よね
[1639.658] Bakobako1234: ダイエットを極めし者になるか
[1640.141] moch__ky: 長時間くるううううう
[1642.588] danny_love_danny: 痩せてうれしー
[1645.855] (S)booby_one: 上しか見てないねー
[1646.743] Kanquez05: 無理せずにやってね
[1654.091] たあぼ0126: じゃあ俺と遊びましょう
[1664.661] wente0: なんで企画のときはモチベなかったのに今のほうがダイエットのモチベあるんだよ
[1667.444] kimie_white: 無理してやったってどうせすぐリバウンドする
[1677.366] prototypeie: いかがわしいやつ？
[1691.144] meganesandesuyo: 筋トレなしで痩せるの難しくない？
[1694.983] 斉川: 配信ダイエット
[1696.904] (S)べーこん118: ビースTVで比較画像出したやつ好きよ
[1698.049] Umechan55: 今の中断マジなん？
[1699.967] (S)booby_one: まぁゆっくりやった方が体への負担も少なくて済むとは聞きますね
[1710.271] kanegon7237: オゴウさんに「痩せろ！」って言われてなかった？？
