[1333.985] とうみきさん: マリオタイプ🍄🌟
[1338.289] 10jqka: 豪鬼待つのがまじでいい
[1342.057] (S)romakkuq: JPボコボコにしてくれ
[1342.616] (S)hihihi_usa: 別ゲーすぎる
[1344.313] kinchaku12: グロ
[1347.221] とうみきさん: 安定しとる
[1347.930] (S)hibari_1104: シューティングやめてね
[1348.116] (S)hirunaruna: 豪鬼気になるな
[1353.355] (S)risusiru: よっし
[1353.786] (S)romshiyo: おお
[1354.493] (S)nijivamp: ないす！
[1354.900] (S)choco609: なーいす！
[1355.414] (S)チズケキ: ないすー
[1355.578] (S)hibari_1104: ないす
[1355.644] (S)y_htomo10: ないす
[1356.149] (S)risusiru: ないすー
[1356.153] (S)okiyoo000: よおし
[1356.353] (S)megenai_suzume: ないすぅ
[1356.978] mumindaniel: おおお
[1357.002] (S)swimkinpop: ないすー！
[1357.372] itataita: ぎりぎりだぁーーーー
[1357.659] sota105_: ないすぅ！
[1358.064] usagiraran: よしw
[1358.627] (S)hihihi_usa: よっしゃー！！！！
[1358.821] もちもてぃ: せーーふ
[1359.335] (S)hirunaruna: ないすー！！
[1359.346] (S)romakkuq: やったあああああああああ
[1360.174] (S)とらおさん: ないすー
[1360.379] (S)nyon_1026: ないす！！！
[1365.599] (S)zoba_57: JPみてえなおしゃれジジイになりてえよ；；
[1367.276] 184days_to_die: kskが萎えてたぞｗ
[1368.730] 御伽の姫アマリリス: アプデでいろんなアシストコンボ軒並み強化されるから待ったほうがいいかも
[1369.889] ikumin08: ないすぅ！
[1376.256] (S)wanwan_5: 本田草
[1382.250] v_benizuwai__v: さすがに豪鬼触る？
[1383.564] (S)hibari_1104: うまい
[1385.984] (S)ankoroll: へー
[1390.931] (S)itsumiiiimario: geroki1P
[1394.290] rxrx2525: ザンギエフ
[1400.474] (S)romakkuq: うわぁ
[1401.163] こどら_: 逆に言えば頭突き百貫できるんは今だけだ！！
[1404.250] (S)hirunaruna: なにしてんねんきちゃ
[1404.313] (S)zoba_57: あああ
[1405.692] とうみきさん: ﾄﾞｽｺｰｲ(( つ’ω’)つ☆))      ¯ω¯      ))"ﾎﾞﾖﾖｰﾝ
[1411.548] 184days_to_die: バーンアウトやめてね 
[1417.483] (S)romakkuq: あ
[1418.476] (S)hirunaruna: （ ;  ; ）
[1418.741] (S)saaaawa: あちゃあ
[1419.842] 御伽の姫アマリリス: geroki1Yametene
[1419.946] (S)choco609: あいやー
[1434.482] 184days_to_die: 上は出ますと
[1439.839] とうみきさん: スト6ひろきのなにしとんねんしゅきやで
[1470.786] (S)romakkuq: ジャスト（ ;  ; ）
[1470.835] (S)risusiru: おっし
[1472.983] (S)swimkinpop: 惜しい！
[1473.365] usagiraran: あー
