[953.264] (S)kemononeko: 楽しくなさそう
[960.765] dcdryuya404: こういうの好きだわｗ
[960.790] kitkat0315: 延々とw
[962.644] (S)kumatedd: ミニゲームみたいだね
[967.253] inoitami: よくわからん
[969.946] dwbh0220: マニア向け？
[976.211] contami_san: セットアップｗ
[976.334] (S)prisira: 好きな人は好きだぞ
[976.847] 肉球クリーム: 売れなさそうw
[981.515] always_1_3: あくまでもチャレンジだからね
[982.645] fujikof3: こういうの大好き
[986.535] dcdryuya404: 答えが色々あるのいいよね
[988.398] gajpmwtdpw: 格ゲーおじさんしかやらなそうだなww
[990.012] klein04dec: タイルとジャンプ最上段がきも
[993.512] shibaponz: もしかして今うってるのって真空コマンドなの？
[998.490] (S)kinpren: 今夜勝ちたい
[1004.367] kamisimeru: ゴジラインが強いところ
[1009.350] qq_taro: sakoさん一生遊べるやん
[1009.937] Globalos62: 初心者向けのシステム付けてるのに初心者お断りの雰囲気
[1013.808] Anpan_umai: 問題作った人を呼んでほしい
[1013.938] inoitami: ネット対戦で人いる？
[1017.993] (S)domontyan: sakoモード
[1032.956] (S)prisira: 別に断ってないだろw
[1033.116] (S)ttp_hayato: ジャックやべー
[1033.962] (S)kemononeko: 初心者にやさしくしないと今はわざわざ格ゲーやらんだろ
[1035.769] fliege1515: このモードはパズルゲーだからね
[1041.753] contami_san: 元委員長一晩中やってたのめっちゃ面白かった
[1043.785] always_1_3: この懐かしい感
[1054.389] psionicpsi: 別にこれはやりたい人がやれば良いわけで
[1056.932] Fixunder: 初心者に優しくても誰もやらないから問題ない
[1072.543] kamisimeru: コイチさんが言うなら全員プログレッシブ
[1078.697] syuto1112: こういうの解いていくのが最高に楽しいのに時代が変わったんだなぁ
[1081.586] Stay_Hydrated_Bot: stayhyBottle
[1082.078] unknlai: there is a reason they call this mode expert mode, not training mode
[1088.356] inoitami: 対戦相手いるの？
[1089.051] (S)kemononeko: プログレだろうな
[1092.928] kurage88: だった
[1099.817] psionicpsi: ヒットボックスと相性良さそう
[1104.838] kamisimeru: コイチさん素晴らしいコマテクある その人がプログレッシブいうなら
[1105.716] kurage88: あるんだｗ
[1106.860] ta3z_: メンヘラが・・・
[1108.138] thousand_masao: やべぇ
[1113.297] contami_san: 私生活に問題は”ある”
[1114.781] (S)AtomPeter: 私生活かよw
[1116.485] kami4genjin: インドラ
[1126.946] cerometal: ブラフマボムやでぇ
[1130.841] (S)~MISSING_COMMENTER_INFO~: 私生活ワロタ
[1136.536] kamisimeru: ほんとに始まるまでが
[1136.868] always_1_3: 技名しっかり
[1139.517] (S)lucita_lapita: スク・・・ブラフラ
[1139.550] reirei205: バーチャロンとかでもそんな感じだったな
[1150.708] (S)myuraly: これがレイヤーのミカか
[1151.632] rapid881000: 壁の柄が酔うな
[1162.146] shibaponz: たちできるのは草
[1162.702] klein04dec: コマンド入力が早いは正義
[1166.882] always_1_3: ↑↓ｗ
[1170.508] unknlai: zangief
[1177.764] cerometal: うっま
[1177.902] dcdryuya404: PogChamp
[1178.134] (S)kemononeko: おもしろさ
[1179.010] kurage88: プロ
[1181.096] toyboze: さすふ～
[1181.264] psionicpsi: ｗｗｗ
[1182.529] thousand_masao: ｗｗｗｗｗ
[1183.109] CapsuleEntertainment: its up, down for super
[1184.036] nanaushi: ｗｗｗ
[1184.248] mokeke_kemono: これ左の方はコイチさんですか？
[1184.251] (S)rt340: ｗｗ
[1184.565] kamisimeru: プロが面白くなっちゃうコマンド
[1186.584] fliege1515: はやおｗ
[1186.889] ta3z_: ザンギさんのすることが・・・
[1187.666] shibaponz: これプログレッシブでやらない意味はどいこ・・・？
[1188.927] rofuty: "おもしろさ"
[1189.251] 金ゆで玉太郎: 上手くなった気
[1190.428] okaki_35: はやお
[1191.526] (S)domontyan: 立ギガス
[1192.648] qq_taro: 立ちギガス
[1196.159] (S)~MISSING_COMMENTER_INFO~: 草
[1202.589] King_Fuudo: うおおおおおおおおおおおおおおお
[1204.053] dcdryuya404: LUL
[1204.062] Umemomo: うおおおおお移動したあああ
[1204.859] klein04dec: プロw
[1205.105] nanaushi: おお
[1207.310] shibaponz: 草
[1208.150] always_1_3: あーーーえげつない
[1210.201] kamisimeru: 西谷さんの食付きｗｗｗｗ
[1210.895] kesuta: やばｗ
[1214.579] (S)kemononeko: やべえ
[1215.557] (S)ほげええ: やべぇ
[1216.033] PpAaNnDdRrAa: ｗｗ
[1217.007] Anpan_umai: やばい匂いしかしないｗ
[1217.168] fliege1515: これだけでもうお祭り感
[1217.314] (S)user0511: ダランサイッキョ
[1217.638] kurage88: ハチャメチャ
[1217.684] toaluH2O: やっばww
[1218.820] tas01420: なんだこのゲーム
[1218.892] ta3z_: これが全て開発側の想定内なのねｗ
[1222.846] NekoPunchKick: あれ最強かな
[1223.685] Umemomo: このキャラ最強すぎる
[1225.835] (S)lucky_sd_bass: 今スクリューって言いましたよね？
[1226.639] sanshosansho: 横で開発者がヤバイって言ってるの面白い
[1232.711] kakiseed: プログレッシブだとガチャ昇竜ができなかったりする
[1233.214] rapid881000: バウンドのない北斗のようなオラオラ感
[1233.226] kurage88: ｗｗｗｗ
[1233.868] NekoPunchKick: ｗｗ
[1234.184] psionicpsi: ｗｗｗ
[1234.554] 二丁目: ｗｗｗｗｗｗｗｗｗ
[1234.727] toaluH2O: wwwwwww
[1234.918] dcdryuya404: LUL
[1235.735] LogicalDashGG: ｗｗｗｗｗ
[1235.895] ta3z_: これで最弱ｗ
[1236.028] tyapa95: ｗｗｗｗ
[1237.236] thousand_masao: からの～
[1238.165] (S)Pai02: wwwwwwwwww
[1239.556] (S)yoinio: wwwwww
[1239.934] (S)kemononeko: 最弱だった
[1239.976] (S)user0511: まーじか
[1240.127] always_1_3: ！！！！
[1240.316] longhorntrain: ハチャメチャｗ
[1240.450] 金ゆで玉太郎: 最弱ｗｗ
[1240.957] fliege1515: ダメだろ・・・
[1241.413] komura4809: これ面白いな
[1241.440] cerometal: ｗｗｗｗｗｗ
[1243.023] (S)ほげええ: ええ…
[1245.857] BrokenJP: TableHere
[1246.036] ta3z_: 悪い言わないｗ
[1246.296] shibaponz: ガチャ昇竜使いにはきついのねー
[1248.669] King_Fuudo: 技術要素で差をつけていくぞ
[1251.878] tebasaki0628: スト５に来たらSキャラだろｗ
[1253.805] psionicpsi: 最弱認定
[1255.503] (S)ほげええ: これよりヤバいのある？
[1256.717] fliege1515: ここからさらに！
[1261.297] Fixunder: 豪鬼
[1261.417] kamisimeru: なんだよ他のゲームってコマンド不自由だったんだなー
[1263.877] hattrickn: ジェム
[1265.648] always_1_3: アグロダラン
[1270.364] kanabuso: それ！
[1270.977] inoitami: 今日はだめだな
[1274.538] cerometal: いや
[1275.054] 二丁目: ｗｗｗｗｗｗｗｗ
[1275.133] kurage88: ｗｗ
[1275.697] ta3z_: だめだしｗ
[1279.798] risutaa3: ネガキャンしていく
[1280.491] klein04dec: チェーンは空キャンできない絶妙バランス
[1281.061] (S)amicitia07: コイチいいぞ
[1281.173] okaki_35: 物申し
[1281.197] fat100kg: できるよ
[1281.521] kanabuso: ここはなーなおしてほしいなー
[1283.872] cerometal: 「強氣変更」のところで△押してください
[1285.520] (S)user0511: 要望ぶつけていけ
[1285.584] always_1_3: 細かい仕様を欲しがっていけ
[1288.935] kurage88: 開発「えっ」
[1291.087] (S)lucita_lapita: 改善点ぶっこんでいけー
[1291.791] kamisimeru: ここ直るなｗｗｗ
[1294.533] catsandcats256: 皆でいいゲームにしていく配信
[1295.505] rofuty: あぁ…
[1295.698] qq_taro: 残業確定
[1304.532] cerometal: アプデで治ったはず。
[1305.693] King_Fuudo: ダブルフェイス＆バベル
[1309.047] (S)しいたけもぐもぐ: まちゃ坊神系？
[1309.742] PpAaNnDdRrAa: ワープダラン
[1309.875] psionicpsi: 要望は逆にありがたいだろうな
[1312.010] fat100kg: 調整入ってトレモでもみれるようになったよ
[1312.216] CapsuleEntertainment: IDK lol, I feel Garuda is the weakest but w/e
[1314.232] klein04dec: アプデきた
[1316.347] tebasaki0628: デバック放送になってるｗ
[1321.285] kanabuso: まじかーごめーん。ありがとーーーーー
[1326.091] (S)lstang: 紹介を装った要望配信
[1328.188] (S)kemononeko: ?
[1336.827] daigoro_umehara: やってみたくなってきた
[1342.729] fliege1515: んんｎ
[1346.609] kesuta: ぶっこんでいくｗ
[1347.827] contami_san: いいとこ
[1350.928] rapid881000: フリー強気
[1361.487] barcecristhian86: We want a VS CPU!!!!
[1362.542] shibaponz: 金でかった強気
[1365.071] kesuta: ハイパーｗ
[1368.288] tebasaki0628: お ガイルの部下いる
[1372.385] signuplogin: どう？このゲーム面白そう？
[1376.329] barcecristhian86: Please! Nishitani!
[1377.469] tas01420: メカザンギ
[1381.149] honeta39: このゲームのアーマーはあったほうがやばいという説がｗ
[1386.395] King_Fuudo: フルプライスで強氣を極めろ
[1391.471] (S)しいたけもぐもぐ: ギルティ系？
[1391.558] Mordexai_: @barcecristhian86 Did you miss the beginning of the stream?
[1395.311] (S)loq901: これ発動するとゲーム変わっちまう
[1396.885] unknlai: I still think they should remove gougi system, this song need this system for being a good game
[1403.111] kurage88: 見た目が面白い
[1405.949] unknlai: *the game
[1407.012] barcecristhian86: Yeah man what they said?
[1412.937] fliege1515: アーマーでこのゲーム切った奴多そう
[1413.444] KA1R1: arcade mode 
[1420.650] Umemomo: お祭りｗ
