[462.324] 電気マツモト: OWのエイムになっちまった
[462.833] 金欠限界大学生: w
[464.123] kimpii_o: wwwww
[464.596] (S)henly1984: Wwwwww
[464.768] (S)Skyhi_20: それはそう
[465.726] 28歳職歴なし腰痛持ち無能: それもコメ欄でめっちゃ言われてたねw
[466.505] 獅子王りむまる: ｗｗｗｗｗ
[471.382] nanini_3: 何飲んでんの？
[473.056] sawayaka_odisan: 踊りの動画しか引っかからんねんｗ
[473.232] abiynonnno: www
[473.908] (S)Skyhi_20: もったいない
[474.507] funifunifunifunifuni: wwwww
[476.486] 2です: キャスディつかおう
[477.516] m1ch1_99: wwww
[478.475] yuzupikon: ソジョーンやれよ
[478.916] kanekon: 自我芽生えたからね
[479.271] ~MISSING_COMMENTER_INFO~: もう違うところにいるよ彼は
[480.246] kan___a: 敗北をしりたいんじゃね
[480.449] 爽来: もったいない
[482.168] nyannnnnnnnnnnnnnnnnnnn: うまそう
[483.444] keeshiii84: キャスデイとかソジョーン使って欲しい
[484.616] tamaki95442: エイムをするのを飽きた！？
[485.489] 電気マツモト: 女子みたい
[486.436] imokorori: このゴミガチャなんなん
[487.583] おそらくきっとめいびぃ: BloodTrail
[489.520] ~MISSING_COMMENTER_INFO~: ぶんなぶんなwwww
[490.166] hsjekebb: 布団ちゃんが最近ソロモードやってるけどそういうことか？
[490.586] Karaage9_9: 女かよ
[491.726] iiikmiii: 意識高いなw
[492.831] ryu15: 456復活ないん？
[494.568] kimpii_o: w
[494.736] 坂本さかもと: 買ってきたやつ？
[494.959] shota3333: 女かよ
[495.224] ~MISSING_COMMENTER_INFO~: キッショ
[497.182] 2です: www
[498.383] さとうきび400: w
[500.650] blues_lovee: w
[502.767] (S)桜鏡月: こっわ
[506.304] 名前変えた: コメダの新作出たよ
[506.552] 獅子王りむまる: スロットみたいな言い方やめてね～ｗ
[507.063] reeey777: カタール交換するの？
[507.622] ayane9532: ねねちの広告きた
[509.566] haro1015: 昔のつべの動画みたいなことしてんな
[509.981] こけはえる: ピングー見えてる
[511.926] konao33: 変動開始時違和感あったのにな
[512.310] ~MISSING_COMMENTER_INFO~: アサイーぶんなよボドカ💢
[512.489] kanekon: 男がそんなシャバいもん飲んでんじゃねえよ
[512.521] lkjfcbhdruiutu: 伊織もえ画面比率やめて 
[516.184] doggo813: くろなん見たよ
[516.335] さとうきび400: 確率どんなもん？
[516.892] 1jz_o: NotLikeThis
[517.463] coe_ms: デブカルビ近くて見せて
[518.090] ssssssssszx: ボドカ韓国サボったのか？！？！！
[518.793] 電気マツモト: なんの配信か分かってないよ
[518.990] iiikmiii: www
[519.170] nyannnnnnnnnnnnnnnnnnnn: 女性配信者
[519.536] twitchube: しょっぱｗ
[520.825] tyankonabe3: 違法視聴
[521.270] yuzupikon: 舐めてる
[522.317] シマさん: これが虚無か
[522.981] blues_lovee: みんなぼドドがみたいんだよ
[524.247] kaipanman062808: 本当にサクさんに残って言ったんですか？
[525.890] 名前変えた: 🤍
[526.478] umenoameoisii: 画面比率が女活動者
[526.514] sawayaka_odisan: 紫さえ。。ｗ
[527.514] kkrok9651: クラフトメタル祭り
[529.701] キューブってる: がおっす
[530.620] metofan3150: 普通にボドのトークだけでおもろいけどな
[531.164] 爽来: へしこの可能性ある？
[531.635] kuramaru_f7: アジバニとほぼおなじ
[533.427] kimpii_o: これが1つ100円なん舐めてるね
[533.576] yosuke131259: 早く赤になってくれ
[535.207] (S)すけ7: えなこはおっぱいあるから見てられるけどなあ
[535.436] keeshiii84: riddleってスポンサー増やさないんですか？
[536.751] 爽来: は？ww
[537.133] kanekon: これ10連ねえのかよ
[537.871] lily3nari: www
[537.995] iiikmiii: wwwww
[539.618] 名前変えた: なんて言うか
[539.777] sora506032: www
[539.921] blues_lovee: あ
[540.873] 竹輪蒲鉾_ちくわかまぼこ: きた
[540.999] tadanomegane: おおお
[541.537] sawayaka_odisan: うああああｗ
[541.573] k_teppekin: あ
[541.593] kab_e: お
[541.872] yuzupikon: わあ
[541.874] 1jz_o: おおおおお
[542.062] kimpii_o: えええええ
[542.141] あねったいた: え
[542.207] yosuke131259: きたー！
[542.257] nyannnnnnnnnnnnnnnnnnnn: わ
[542.469] ch_is2: おぉ
[542.475] はぜぼう: でたー！
[542.760] こけはえる: あああああああああ
[542.916] (S)warawanaiman: はや
[543.063] 2です: うおおお
[543.120] 獅子王りむまる: おおおおおおお
[543.165] aka_neko_r: うおおおおおお
[543.185] 名前変えた: くさ
[543.229] りーばぁみん: おおおおおおおおお
[543.354] (S)Skyhi_20: はや
[543.594] 猫すきすん: あ
[543.602] aphelios_4: おおお
[544.050] 金欠限界大学生: きた！
[544.086] nekoch4rm: あ
[544.172] (S)みりみりみりみり: はっや
[544.326] かつどどん: お
[544.347] pirian777: なんのスパレジェがほしいんですか？
[544.370] 雲丹: ！？
[544.570] kanekon: 動画用
[544.733] らすてぃぃ: ！？
[545.092] yuta12290117: www
[545.204] tokumei29381: はや
[545.267] さとうきび400: ！？
[545.393] twitchube: うおおおおおおおおおおおおおお
[545.523] puyopuyokun: おー
[545.749] metofan3150: おおお！
[545.821] shota3333: きたー
[545.941] シマさん: 草
[546.057] 竹輪蒲鉾_ちくわかまぼこ: ガチイク
[546.131] nanini_3: きたー！！
[546.177] tooo818: きたあ
[546.477] ssssoooo7525: はっや
[546.885] lily3nari: きたあああああああああああ
[546.934] danimusi: ！？
[547.217] らむぽっぷ: きたー
[547.591] こったさん: はや
[547.769] tumblerrrrrrr: はや
[547.791] tyanchi_i: 義務リアクション
[548.008] gouter_de_n: きたあー
[548.056] kan___a: ？？？！！
[548.064] umenoameoisii: わざとらしいってｗｗｗ
[548.094] かつどどん: はやww
[548.340] emonovel: うおおおおおおおお
[548.481] ~MISSING_COMMENTER_INFO~: はっや
[548.489] (S)masukaru_222: はっや！
[548.531] Karaage9_9: おおおおおおおおお
[549.503] kab_e: ｗｗｗｗｗ
[549.523] キューブってる: vodkav2Surprise
[549.585] 名前変えた: あああああああああああぁぁぁ
[549.599] jewel1945: www
[549.716] mollusk5: ！？！？
[550.128] kazaha_zazazaxf: はっや
[550.438] 0ikos365: きたー！！！！
[550.523] tkspr00: はっや
[550.634] たいらちゃん: うおおおおおおおおおお
[550.810] tadanomegane: もうおわったんだがｗ
[550.848] mikan_42my: はっや
[550.994] tyankonabe3: 演技上手いっすね
[551.018] コフーライ: はっや
[551.083] aphelios_4: はやくね
[551.133] bunchou05: うわあああ！
[551.308] nats60: はや
[551.506] できるよ: はやい
[552.313] suzuno_g: 思ってたより早いww
[552.370] あねったいた: 動画用
[552.441] momoquu_: はや
[552.486] metofan3150: ？
[552.534] lion_oo6: はや
[552.535] shiiizuna: 急にw
[552.573] もにかん5910: はっや
[552.573] reipoppo115: はっや
[552.576] かつどどん: うおおおお
[552.581] ~MISSING_COMMENTER_INFO~: 早いて
[552.602] blues_lovee: www
[552.650] okumoto2nd: はやw
[553.230] shu10__: きたー
[553.298] danimusi: まじか
[553.827] りーばぁみん: えっど
[554.040] hunbaa13: え
[554.077] shota3333: ｗｗｗ
[554.284] mollusk5: はや！
[554.505] Karaage9_9: えっど‼️
[554.991] 28歳職歴なし腰痛持ち無能: YouTuberの反応
[555.181] (S)orkupez: はっやwwwww
[555.236] pachinkohanzo: ９９９９９９９９９
[555.315] iiikmiii: はっや
[555.451] popo_Lv5: はや
[555.499] (S)激ローメタモン: きたぁあああああああああああああ
[555.653] bear_aki: え、もうでたの？！
