[736.563] sndkzfm1: 今回のCRカップも追加DLCのキャラ多いしな
[739.485] (S)あすか0119: naru04Ohayu
[740.928] (S)みなぷ080821_: でもAKIちゃんの感じで普通の見た目だとセンシティブになりすぎちゃうし
[745.516] (S)Ganata_6251: DLC組は新コスも22日にくるのかな？
[747.631] (S)むっこ65: 本田ちゃんと強そう
[749.245] (S)もじゃ変人: ほんとに通常技ちゃんと強くなる感じだ
[751.870] ookotoa: リュウとか弱くても使われるしな
[752.749] (S)gocupid: 結構いい調整内容なのかもね
[753.686] エンタープライズ: ジェイミーさんこんばんは
[754.170] ono_175: 逆にアキしかdlcの新キャラいないの少なく感じる
[755.889] ちゃんはら: 硬派になっちゃう
[759.609] (S)もじゃ変人: ケツの＋なくせぃ！
[760.297] (S)olka_kakuge: あれはあれで不快感やばいｗ
[765.835] terasura95137: プロが言ってた通りの調整になった本田
[772.688] (S)moppu_gake: おっすなるお
[772.878] マジでお前誰: スト6ずっと盛り上がってるから最高だ
[773.151] urabely: sajamって配信者が映像付きでアプデ解説してたからおすすめ
[776.109] (S)dorcus_d: こんばんは～。
[777.678] beru711: 本田が渋いキャラになったらどうするよ
[782.994] (S)spica623: こんばわ
[784.367] (S)まるたにこふ: ルークにも強化点あるくらいだから、本チャン結構期待してる
[787.022] (S)毒見ユッケ: なんじゃあ
[789.735] chujoe1101: KSK本田続けると思う？
[792.583] ダルおじ: マスター本田は中パン連打してくるのかな...いやだわ
[793.219] NoE_vivre: 百貫が異様に離れるの笑ったわ
[793.919] sndkzfm1: 22に大型調整と豪鬼と新コス全部来る
[794.968] kt_0910: sajamuってCPTのコメンテーターの人か
[796.630] (S)もじゃ変人: 本田はそうだしね
[803.432] (S)もじゃ変人: ４はよかったよねｗ
[804.084] puyo2007: それがどうして
[805.835] (S)olka_kakuge: そうなん？
[807.380] (S)毒見ユッケ: karubisHanya
[808.937] (S)ごまたまご: どすこーい！！
[809.358] (S)もじゃ変人: 今みたいな あんな馬鹿じゃないからｗ
[809.386] なっつ: www
[809.431] (S)まるたにこふ: ｗｗｗｗ
[810.710] (S)459dmaito: へー
[810.860] beru711: そうなん？
[812.984] umechin7: 4の時どんなんだっけｗ
[813.999] mame16901: そうなのか！
[815.053] (S)dorcus_d: LUL
[815.358] tukune51: 6ではっちゃけちゃったｗ
[816.813] miyami022: へー
[817.328] (S)nipopo2682: え
[817.780] malt_coffee: そうなの？！
[818.051] ono_175: むしろ張り手
[818.261] (S)ynoyeu: そうなのか
[821.777] (S)もじゃ変人: ４は張りても連打だし
[822.008] sndkzfm1: そうか？
[822.014] (S)むっこ65: けつ！けつ！
[825.218] (S)459dmaito: SUMO
[826.710] (S)玉子王子です: 嫌われ者じゃなかった？
[826.853] tondol: ウメちゃんが使っとったぐらいだしなぁ
[827.391] ダルおじ: 張り手のイメージだわ
[829.719] (S)kombuctage: 4も百貫無敵でやばかったよ
[831.123] (S)gocupid: ウメさんが５で一時期使ってたのだけ知ってる
[831.600] hoemin247: おりゃりゃ！おりゃりゃ！
[832.249] nasuki77: 張り手強化!
[833.037] TROI_Just: コンボむずかったよね
[835.249] chujoe1101: ４の時って９９秒しゃがんでるキャラじゃなかったの？
[835.841] yudedako: 相撲とはチンパンになる事と見つけたり
[836.188] うーたんんんっ: スト6で浮かれて相撲忘れた
[837.266] sasadango1: 張り手キャラだったね
[838.261] (S)nipopo2682: ハメおの本田しか記憶にない
[842.423] ボタンレス加藤: こぱ張り手と垂直大Pで地味に頑張る系のキャラだったな
[846.506] sndkzfm1: ウメ本田が人攫いしてたイメージ
[847.951] (S)もじゃ変人: でも嫌われ方の種類が違うｗ
[848.598] ダルおじ: 張り手の連打がむずいんだ
[848.625] sakaeguti88: いやいやハメオ百貫わすれた？
[851.664] (S)TNTNBRN: どすこーい！どすこーい！ふんっ！でりゃ！大銀杏投げじゃーい！
[853.397] (S)kanpintan3: けつと頭突きのイメージしかないわw
[857.258] (S)もじゃ変人: あ
[858.709] chujoe1101: はめたむ？
[860.958] (S)可愛い嘘のカワウソ: しごおわ こんばんわ〜 
