[3687.211] garalia0: いっぱいｗ
[3690.190] vcdva: あかん
[3690.747] kumatedd: 稲川淳二の友達の範囲はめっちゃ広い すぐ親友認定してる
[3691.063] balthazar000: マラソンかな？
[3691.817] miruujyu: 宗教？？
[3691.899] gannaranna: 走りまくるメロス
[3693.800] mutuizumi: 別な意味で無敵
[3695.874] ひょーた: いっぱいいたら、キャパオーバーしない？
[3698.063] ぐのたお: メロス１００人できるかな？
[3699.824] garalia0: 友達いっぱい欲しい人か
[3702.929] rotonz: え
[3706.423] devilishblack: 6時間遅刻したら処刑されるからヌキがメロスだったら困るんだが？
[3712.636] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[3714.471] gengoro1198: メロス100人出来るかな！？
[3719.675] shomarusan: ウメロスになれず
[3723.690] thousand_masao: ティウスｗ
[3726.202] rotonz: ティウスｗｗｗｗ
[3729.363] (S)genjin_777: 俺自身がメロスになることだ
[3729.775] kumatedd: メロスは無理
[3731.478] garalia0: 松浦さんて薄い付き合い多そう
[3753.215] (S)平本: 嫁はつくりたい
[3753.349] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[3754.775] dsadsa454654: え～
[3756.487] rotonz: はやーーーい
[3761.385] suginaka56: umeSnooze
[3764.929] kumatedd: やっぱり一時間半は欲しいなー
[3768.328] gannaranna: 大学まで誰も連絡しても続けてくれないのをいま思い出した
[3768.964] garalia0: こわ
[3769.758] rotonz: 成功
