[1080.918] (S)gajpmwtdpw: 役どうやって覚えた？
[1081.172] drag0nspeed99_: @DaigoTheBeasTV 火の玉が好きですか ？
[1081.320] ~MISSING_COMMENTER_INFO~: 武闘派じゃないのにゲーセンとか雀荘にグイグイ行くのはさすが
[1081.511] gedow_nukky: ピザまんとあんまんどっちすき？
[1081.785] ememeume: umeDuo_EG
[1084.104] elvanchow: PogChamp
[1085.619] (S)lesame: 週１って体壊しそうな
[1086.401] kitagawakun: 炭水化物ちゃんと取らないと心臓に負担かかるらしいから完全に抜くのはあぶないらしいね
[1088.436] ミヤ0085: 天のドラマ見た？出来良かったよ
[1091.028] (S)king_ice23: 今一番食べたいの何？
[1092.339] だいこん_: レッドブル飲まない日あります？
[1098.698] drag0nspeed99_: @DaigoTheBeasTV ビーガンになりますか？
[1100.014] beer4649: こく兄、こくじん @kokujind · 1分 ＰＣ版ストＶ買った、アプデくそなげー。終わったら配信しよ
[1101.864] obo_006: 近代麻雀は月一なっちゃってるよね今
[1103.762] natoooji: 今日はヌキさんから雪山人狼やらないのってラインきてない？
[1105.594] (S)ラヴィコウヤ: ダイエットはじめてからどれくらいたちました？
[1107.960] hachi77777: ノーマーク爆牌党が僕のバイブルです
