[3340.676] usa451: クロダ
[3360.879] ilm0806: 3連覇したら、スポンサーだって鼻高々にってWinwinだよ
[3366.597] (S)redbull_daisuki: ひさしぶりにデカイ大会で優勝するウメちゃんが見たいよ
[3367.594] mashe1748: ＡＥ２０１２でリュウで強い時のウメちゃんめちゃくちゃかっこよかった
[3389.192] rotonz: 俺だけのキラーマシーン
[3394.718] amadori3: 不利を覆すのが見たいんよね
[3397.673] 記入漏れ: カゲも今強化してって皆言ってるけど、テコ入れ次第じゃ豪鬼から何も学んでないのかよって言われる
[3404.516] haniwa09: もうかりんいいよみたいに思っちゃうもんなぁ…
[3421.668] kiriwo777: teppen人気ないんですか？
[3426.163] higashimurayama: ももちに空気を入れていたウメさん
[3436.332] vesitermbtl: 俺だけの殺戮マシーン
[3436.820] 山田たろう太郎: 賭け事でも応援は応援では
[3453.400] 不渡哲也: 競馬場で必死になってるおっさんの気持ち分かったって言ってましたねw
[3454.799] rotonz: だからウメさん応援する人が多いと思う
[3474.207] 記入漏れ: 結局他人に託すってそういう事なんでしょうね
[3509.573] h2hiroyuki: ボンちゃんが勝ったところで自分になんか得があるとは思えんけど、やっぱ応援しちゃうけどなぁ
[3539.429] usa451: ウメちゃんの応援配信・・・
[3573.934] krtwitch2013: ストリートファイターリーグでめっちゃ応援してるっしょ
[3593.023] krtwitch2013: ストリートファイターリーグで味方めっちゃ応援してるやん📣
