[2603.422] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[2609.746] (S)akahige9280: https://clips.twitch.tv/EsteemedBlatantTroutPlanking-i4DQxKqmoFNmDkZJ
[2640.205] (S)akahige9280: tonaka2Nice2
[2646.666] achan141: ナイス👍
[2655.830] inufu: ナイス！
[2658.957] さくぅ_: tonaka2Nice2
[2664.292] (S)エルネコ: 無視無視
[2667.965] (S)natu0713: 言葉つよw
[2672.010] achan141: スルーしとこ
[2672.298] pikamaru623: ヘンディーに多分言ってたでw
[2689.913] かじ山: シルバーごときがハイドもクソもないのよ！w
[2710.606] achan141: のれないw
[2713.823] (S)ケダ: 相手のレイズなんでずっとバッキーなんだ？
[2714.358] (S)エルネコ: ないす
[2714.804] (S)akko818: tonaka2Nice2
[2715.052] (S)akahige9280: tonaka2Nice2
[2715.467] gumic: ないすー
[2717.117] 綾華_: ないーす
[2718.347] (S)zakiyoka: つよ
[2720.579] midk8: ｗｗ
[2721.305] タナたな: やめなさい
[2723.252] ternah: ww
[2723.319] rio__0621: ｗｗｗｗ
[2723.589] (S)retr0mantis: retr0mantis subscribed with Prime. 
[2724.105] alufeee: www
[2724.308] さくぅ_: tonaka2Nice2
[2726.321] mamemametarou_: ｗｗｗｗ
[2726.494] (S)kanemaru12912: や、み
[2727.066] hinato_flog: あーww
[2731.834] rio__0621: バッドマナーｗ
[2733.951] achan141: めっ！
[2736.620] inufu: www
[2737.350] miii_4: こんにちは！
[2741.401] mamemametarou_: それ以上傷つけないで！
[2742.008] 綾華_: 気持ちよく終わらせてくれよな
[2742.812] maguro_eleven: ま、ずい
[2743.306] (S)akahige9280: おわってる
[2747.983] (S)エルネコ: 良い子はマネしないでね
[2754.662] かじ山: ヴァロやってる時、ヒソカみたいだね
[2755.047] (S)zakiyoka: 最後っ屁が楽しみでさえある
[2785.009] (S)natu0713: オーメンまじでつええ
[2791.951] 綾華_: おしい
[2801.590] alufeee: いける！
