[2057.638] hadogamosenpai: chiW
[2059.138] cubgasukidesu: ならほど
[2065.394] sibazuke0141: なるほどー
[2100.774] (S)rtmt: すげえ視点だな・・・
[2104.094] (S)けいたろう: おお
[2128.981] また強くなっちまった難波: なるほど・・素晴らしい
[2154.597] STARfromTOKYO: 昇竜に化けそう
[2172.908] pettyarn5: ,」
[2226.123] 球根: やり得頂きました
[2284.901] cubgasukidesu: 中足ガードしたらあばれてみます
[2302.708] aobara0208: これは嬉しい情報だわ
[2318.248] (S)sugarsato_: こんな為になる配信があるのだろうか
[2357.309] pompeyo: Sagat is trash
[2367.541] ishiwata1234: ホント為になる配信
[2443.283] omaturiwasshoi5: 初心者で勝てなくて悩んでる人には本当見て欲しい配信
[2448.669] (S)canon_203: うへー
[2460.797] ryo330: ももちとかこういうのうまいよね
[2463.895] ~MISSING_COMMENTER_INFO~: harettIn
[2476.730] tk3333: こんなのを初心者がするもんなの…。
[2478.050] gajonaori: このレベルの話は10k～かなあ・・・
[2481.842] みかずきーん: ためになる
[2503.303] (S)sugarsato_: ガードのタイミングでボタン押すみたいなのって教えてもらわないとわからないからな
[2517.925] lukewalker4l: hey daigo how everything going
[2528.824] ryo330: 弱と中見分けれる？
[2533.413] h2hiroyuki: ガードのタイミングでボタン押すのは色んなキャラの対策で使えるから初心者でも覚えておいて損ないと思う
[2543.400] (S)あと1983: まちゃぼー先生を超えてしまう…
[2550.246] lukewalker4l: hey fuudo
[2555.540] ishiwata1234: 中級者講座？の時間かな、今は。あとで初心者講座やってくれるはず…
[2557.617] h2hiroyuki: 中をガードするタイミングで押しても弱のスカリに確定するから見分ける必要ないよ
[2559.065] zain0016: can you see daigo here? 
[2590.834] (S)NAOjpp: daigo is not here.
[2606.228] lukewalker4l: yeah he isn't here
[2611.875] yulth: いてぇ
[2646.636] 球根: 4Fキャラはどうすれば…
[2646.906] hadogamosenpai: chiZ
[2707.365] that_japanese_dude: ４Ｆは根性
[2715.812] おにゃろ: これ今なにやってるんだ？
[2716.692] (S)canon_203: きまるとかっこええ
[2717.239] user0511: アーマーもないキャラは諦めろってことか
[2719.972] あいちゃん18: ねかりはしゃが中しゃが中で3F潰せます
[2727.400] mari__na: サガットは中昇竜行けるか
[2734.060] (S)あと1983: こさく（ネカリ）対策
[2734.188] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[2755.436] おにゃろ: どもども
[2844.568] h2hiroyuki: Ｖスキルがめちゃ強になっちゃうからね
[2849.214] (S)xxxjaime: トリガーが終わらんから
[2855.452] (S)canon_203: ？ 
[2856.101] ryo330: Vリバが使えない
[2859.682] cafe_gondo: 逃げちゃうわ
[2859.911] sibazuke0141: Ｖリバ？
[2865.213] keihakukyou: 通常技リーチの差をいかされる
[2872.952] 球根: w
[2877.205] manifu_: 下段強いから〜
[2901.719] non__violence: 下がっても状況が良くならない
[2903.344] h2hiroyuki: なるほどなあ
[2905.035] cafe_gondo: なるほどなあ
[2905.144] cubgasukidesu: 足速いから
[2915.668] みかずきーん: ためになる
[2915.950] (S)canon_203: ほええ 
[2918.055] ~MISSING_COMMENTER_INFO~: harettImaesan
[2919.209] (S)NAOjpp: w
[2922.134] (S)けいたろう: わかりやすい！
[2926.652] lightkk0: いない理論
[2927.831] pakapakap: 平均化していこう
[2929.717] sibazuke0141: 泉
[2930.639] FBC_rikiseg: 長えな～
[2931.142] (S)あと1983: 手札を増やすためか
[2934.355] StabSam: Daigo looks so different today- new deodorant?
[2936.211] (S)canon_203: umePout
[2944.611] hadogamosenpai: chiCheer
[2950.286] 球根: 書籍化して欲しいわ
[2954.956] b_oka5: 折笠ほんと頭悪いな
[2964.000] (S)あと1983: ふーど版虎の巻
[2984.413] h2hiroyuki: Ｖスキルもめっちゃ強化されるから正直離れてもいいことないよね
[2992.155] digimonx: what language is this it's pretty 
[3005.074] StabSam: Its french
[3009.244] maemaemaema: でも歩きも早くなるからなー
[3010.527] scge111111: 股間にフランクフルト
[3013.411] nup1965: Chinese
[3023.274] digimonx: um.....
[3028.140] StabSam: no clearly french or dutch
[3036.641] h2hiroyuki: それは豪鬼だけの話ね
[3039.174] digimonx: chinese?
[3039.929] sora_neko09: 相手の性能が強いんだから５分に持ち込めたらOKだと
[3041.120] (S)ayuka_game: おじいちゃんだからね
[3054.979] tomorock21: 前ステが強化されるから
[3088.776] nup1965: Portuguese
[3120.243] テイガー: そもそも話が違うんやね
[3125.502] ~MISSING_COMMENTER_INFO~: ふ～ど大変だなｗ
[3131.123] (S)ayuka_game: まぁオリカサは帰ってから動画みかえして理解するタイプだろうしまぁ
[3132.664] salad_maki: 一生まとめられない
[3134.333] ジャスパーのガチアンチ: ？？
[3137.855] user0511: これやっときゃいいってのは無い
[3139.474] (S)けいたろう: ネカリはVトリで前ダッシュが伸びるからネカリだけ前ダッシュ投げができる距離はダメだってことだよね？
[3151.035] dora2212: コレに対して絶対これってのはないからな格ゲーは
[3160.043] pakapakap: 一部は平和になり 一部は不穏になる
[3169.056] surokun777: 誰来たの？
[3173.490] (S)canon_203: 平和は来ない
[3179.954] ジャスパーのガチアンチ: まとめ癖ｗｗ
[3184.365] surokun777: もしかして誰も来てない？
[3184.975] h2hiroyuki: 発動時に近距離を保つべきなことと、発動関係なく近距離波動が強いってのはそれぞれ別の理由ってこと
[3195.621] dora2212: 最初は折笠さんにするっていってたよ
[3196.418] yukidoke7: まとめ癖は配信者としての性？
[3212.985] yulth: ２サク
[3214.748] loq901: ニサクｗ
[3216.779] nup1965: who is the guy next to foodo?
[3220.057] maemaemaema: 待ってもらってるの？
[3222.999] (S)ayuka_game: かなりきてるけど、仕事終わりの人とかもこれるようにオリカサからさきやってる
[3226.531] (B)DaigoTheBeasTV: Handsome Orikasa
[3226.607] kamonan_9: 二毛作
[3228.393] nhhhe: ５サク
[3232.041] jipippi: まとめ癖は漫画原作の後遺症
[3234.814] leere1017: かなり来てるのか
[3237.662] surokun777: いっぱいきてるの
[3237.706] (B)DaigoTheBeasTV: Fuudo has been teaching him the game
[3241.621] pakapakap: He is handsome
[3243.088] omedetroit: マサのブラボあったなw
[3243.173] (S)ayuka_game: スフィアの初心者台で対戦してるんじゃないかな
[3245.358] ishiwata1234: 愚策
[3249.129] (S)sugarsato_: ふーきゅんに教えてもらいたい人が溢れてる
[3249.200] nup1965: ah i don't like him
[3257.173] (S)ayuka_game: まぁそりゃくるよねっていう
[3262.425] StabSam: hndsome cuz he got 3 hands? wow
[3262.459] leere1017: 教えるの上手いしなあ
[3264.259] psionicpsi: LUL
[3266.286] lukewalker4l: wow
[3267.706] metalface_05: LP全然増えない
[3268.608] cubgasukidesu: スフィアに行ってみたい勢
[3287.925] (S)ayuka_game: この機会にスフィアで初心者交流みたいなのが増えればいいけどね
[3291.284] (S)canon_203: 行ける人がうらやましい
