[99.055] (S)pon_pon_bomb_: マップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せ
[99.167] (S)alggtr: バトラ？
[99.437] asasiolove_mash: 🍣
[99.965] kura0904: へった
[99.978] orion_na: 雑魚帰れ
[100.966] irohasu84: 謝るな
[101.202] ku_taro: ウキウキで草
[101.253] nyyafapyo: マップ隠せよ
[101.259] iris9120: 早く僕を助けてね 
[101.507] Cure4ce: マップ隠せ
[101.952] (S)からーげくん: マップ隠せ頼む
[102.521] ドゥテルテ: 豆腐
[103.161] MindC7: バトラ元気ね
[103.290] (S)pandasan_power: あ
[103.454] ANAPA0000: 団長に迷惑かけんな！マップ隠せ！
[103.500] ll_cc_002: 次呼ばれませんw
[103.860] kazuuso: マップ隠してください 
[104.052] (S)猫舌の犬: 仕事ほんとにしてるんか？
[104.075] てやみ: 賭け
[104.100] (S)melon_pan14: ごめんやめて
[104.223] (S)firakku2034: てがふるえる
[104.265] j_craod: 退団
[104.325] asasiolove_mash: ヴァロ4
[105.225] runa_b13: 小僧マップを隠せ
[105.571] (S)フェネル: batoraValo
[106.533] ひぽ_: batoraSudachikunAnimation
[106.567] yyyuuna: 豆腐がよ
[107.048] (S)ufe514: BloodTrail
[107.889] あんソロ: batoraSudachikun7
[107.904] (S)kotono_ha: これやるなら仕事辞めてね 
[108.555] るるるいず: ヴァロ444444444
[108.770] (S)ﾐｮ: バッさん小粋なトークしないのか？
[109.624] るりぴっぴ: ヴァロ４
[110.157] (S)sai11000: batoraSudachikunAnimation
[110.452] scarlet_dot: 🍐さん仲間だと思ってたバトラ取られてイライラ
[110.456] sijimi_A: バトラ！？
[110.664] よるもち: マップ見えてるよ
[110.673] (S)かまめし1523: batoraValo
[110.873] groovy_gozila: ガチで豆腐
[111.301] bubobo_mowa: 不採用
[111.359] runrunxan: すだちだせ
[111.379] エクレシア: マップ隠さないとやばいぞ
[111.551] 海軍大将黄ギャル: すだちでマップ隠せ
[112.009] ぬえぼ: 絶句中
[112.106] heishosann: マップ隠せな
[113.630] ~MISSING_COMMENTER_INFO~: ダイヤいた頃から実力落ちたバトラ見て、カトさんは失望するやろなぁ
[114.306] パパイレ: モデさんここは賭場だろ？
[114.629] ama0428: すだちくん出せ
[115.179] kura0904: 手プルプルで草なんよw
[115.262] toshi365: 小僧マップ隠せ
[115.265] ll_cc_002: 小僧ウキウキする前にマップ隠そう
[116.294] 박서준です: バトラまさかのヴァロwww
[116.359] (S)sasanao_: DinoDance
[116.384] danielkintaro: BloodTrail
[116.562] akiragamer2: 手ぷるぷる
[116.764] d1_dayo: マップ隠し忘れてら
[117.722] kageaki31: ばっさんさぁ…
[117.741] reochi_: マップ隠してね 
[117.896] (S)aburi_saamon: ごめんなさいやめてね 
[118.455] ちくわぶさんたろう: すだちで隠せ
[118.833] ~MISSING_COMMENTER_INFO~: こいつ明日仕事じゃないの？
[118.908] (S)soralira: すだちくんでマップ隠さなきゃ 
[119.243] kenssaaki: おい純の足引っ張んなや
[119.826] lokinlokinlokin: あーあ。
[119.952] shinki101: すだちくんでマップ隠せ
[120.158] Cure4ce: マップ隠せチビ
[120.898] gr3y_h3art: バトラさんマップ隠し必要かもです！
[120.923] apple_pie0827: マップ隠さないと怒られるぞ！
[121.258] やまだいさお: 千倉は館山
[121.304] shoot3r_1: ピンクのスキン←買いません
[121.440] つくもや: あーあ
[122.130] ynwnnbf: あーあ
[122.296] (S)alggtr: batoraValo
[122.398] (S)村紗あざらし: かっさんからバトラという名前
[122.584] y_submarine: マップすだちでかくせ
[123.131] (S)named_silva: batoraSudachikun2
[124.046] (S)うぃはち: ヴァロ配信もうつまんねぇ
[124.172] (S)mirulia33: 明日仕事無いんですか？
[125.108] (B)バトラ: a
[125.161] タンスのこやし: コメ←見ません
[125.376] mb2sy: はんじょうにすり寄ってプレイするでゅんとのバロは楽しいか？
[125.551] Hsnik_: マップ見せてるけどお前🍐か？
[125.562] (S)firakku2034: マップ隠しすだちないぞ
[125.582] chikutate: マリオやれ
[125.779] ~MISSING_COMMENTER_INFO~: こいつ仕事ないの？ 
[126.535] (S)frorida_22: あーあ
[127.168] (S)kanaya_k: なんかバトラいつもと違うね
[127.220] 1908_nikko: PopNemo
[127.400] (S)sasanao_: マップ隠せ
[127.404] 박서준です: 2回目なんだから緊張すんなよ
[128.158] usagisan00: あ
[128.355] ~MISSING_COMMENTER_INFO~: あ
[128.419] groovy_gozila: あ
