[621.616] ry10968: リーグ優先のスケジュールになってるからなぁ
[622.851] bacoyashi: ほなええか
[623.011] ガッツリめのスケベ: ボドカ次はどっち応援するんや？
[623.329] (S)ゆにおん12: VCTもあるからスケジュールキツいんよね
[626.445] pokepokepopopo: 元から決まった連戦と急に連戦は別じゃない？
[628.123] Vorzu: 連戦はまだしも今日時間かけたあげくやらないで明日朝一が一番やばいすよ
[632.967] gtyan89: 明日の12時とかやろな
[632.973] ただ感謝を: valoの大会って割とこういうことあるんだな
[635.381] ssssssssszx: あ
[635.787] しばこう: 明日も延期するぞ
[636.619] グラル87: あ
[638.418] marrymerrymary0203: あ
[639.259] (S)リドルシコロクキッズ: あ
[639.331] しゅーまいまい: あ
[640.069] lily3nari: あ
[641.187] nondelimaru: あっ
[641.256] jagaimo468: あ
[641.265] mevius3711: たしかにね
[641.715] puuuusan8: あ
[643.144] spinet12345: あ
[644.406] tuwabuki_: あ
[645.694] angry_hungry19: たしかに
[645.915] tengu_114514: あ
[647.216] yvngboittv: あ
[647.341] maru__2127: たしかにｗ
[648.503] mashasi1015: すぅーー
[649.242] ただ感謝を: 朝一だと見れないよ 
[649.857] catnapjp: ありそう
[650.173] ひえ0: たすかに
[650.757] riiin2525: 明日解決できるか問題もあるよね
[651.130] lily3nari: 今日はもうやめべ
[651.347] のーたいむ: まぁたしかに拘束されてるんだもんな
[652.056] mik4zuchi: ありそうで笑う
[652.567] (S)3300_hv: ほんで明日もクライアント入れなかったらやばい
[652.947] (S)imokorori: そんなやばいか？
[653.204] しばこう: 今からやるのが絶対1番いい
