[1640.618] (S)y_proto: なかなかいいゲームやってる
[1644.989] v_harumi_v: パパ力ある
[1645.133] leaf1341: なんか意味深な
[1652.638] (S)イエール: ボールゲットン
[1656.297] homu0117: 面白そうだからやってみようかな
[1658.305] tasukete: ストーリーに重要そうな一言が
[1661.319] dyechi: いい人アピールだけしに来たな
[1661.336] (S)すれいまん: ウメちゃんもビーストじゃなくてヒューマンだった時の記憶あるの？
[1672.128] tarako7016: これは記憶が
[1677.536] (S)イエール: umeYay
[1691.279] (S)sai927: え
[1692.906] kurage_jpn: ！？
[1693.926] v_harumi_v: 人っ💦
[1697.029] Maloneal: 細い方がカイシデンの声で再生される
[1708.771] pondenring0930: 親方！空から
[1725.162] kawasak1n: あ
[1731.665] (S)イエール: umeNeko
[1741.051] (S)あぱれる君: amakipIeen
[1755.539] raurakd: いい感性してるな
[1759.380] Turtletech_: よお兄さん、ファイトケイドに乗ってサードストライクをプレイしてみよう =)
[1796.443] (S)~MISSING_COMMENTER_INFO~: PopNemo
[1800.034] (S)イエール: umeCossack
[1806.824] (S)sai927: ヤンス
[1813.927] pondenring0930: へへ…
[1819.547] (S)vaio_95: スパッドかわいく見えてきたな
[1819.789] (S)イエール: ヤンス兄
[1819.850] une3333: ごますってやがる
[1840.976] (S)あぱれる君: ブランカちゃんみたいなのいる
[1854.030] とろきりで: 五体揃って四天王！
[1867.137] (S)イエール: ほほう
[1868.760] leaf1341: 魔法の力的なね
[1876.631] pondenring0930: 強くなりたいか？マジックタールを食えマジックタールを
[1905.464] ohasu1: NotLikeThis
[1905.583] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1908.738] (S)~MISSING_COMMENTER_INFO~: うめ散歩
[1911.139] (S)イエール: なんか煮込んでるなw
[1914.354] とろきりで: ウカツ
[1925.418] une3333: 声ひっくｗ
[1926.599] isekai7153: いたぁ
[1949.227] ずんころもち: メグとばけものやってるうー！
[1954.722] une3333: あっ
[1968.187] Turtletech_: ファイトケードでプレイしたことはありますか ??
[1973.293] une3333: あら～
[1975.445] (S)イエール: かわええ
[2002.887] (S)sai927: くっそ強そう
[2009.559] sabamesoni: 負けイベかな？
[2009.611] なっしー0812: 力で解決
[2011.566] (S)イエール: ボス戦きちゃーー
[2014.030] kawasak1n: ファイ
[2016.429] isekai7153: 三つ目は強い
[2021.412] Maloneal: ルビカンテみたいだな
[2051.653] shuto_fgc: 梅さんが神ゲーやってる！！！！
[2068.977] (S)イエール: 減る！
[2077.153] ohasu1: えもい
[2085.581] 箸くれ: ベースでひこ
[2089.231] latenight000: サルーイン「本気を出そう」
[2095.143] (S)イエール: アイイイイ
[2097.594] (S)すれいまん: 話のわかるやつ
[2108.714] 80808527: いい奴だな
[2118.161] とろきりで: なんせこっちはHP99999
[2118.398] raurakd: ロイ強すぎる
[2120.001] daylami1994: まだ本気出してないのか
[2122.524] (S)すれいまん: あのまま続けてもこっちが勝ったけどな？
[2161.590] latenight000: 10先の途中で、お前の力はわかったとか言って対戦やめたらどう思うって話
[2162.810] une3333: この店主の声ひっくいなぁ
[2173.274] leaf1341: ｗｗｗｗｗｗ
[2173.647] (S)sai927: ｗｗｗ
[2174.088] v_harumi_v: イビキみたいな声
[2175.190] (S)イエール: おぉw
[2176.336] v_harumi_v: ｗｗ
[2177.219] とろきりで: www
[2177.641] 箸くれ: ｗｗｗｗ
[2179.175] maya_g01: はみ出てたｗ
[2182.883] pondenring0930: みんなには ナイショ だよ
[2183.010] 80808527: www
[2188.571] kawasak1n: ちょい見せ
[2197.371] とろきりで: ハシゴの現物を見たことが無ければ気づかないだろうな
[2200.417] 箸くれ: グスタフ氏の規制ガバガバ
[2217.497] DoraeMossGoro: MossGoro subscribed at Tier 1. They've subscribed for 43 months! 
