[662.592] pochiyonee: pochiyonee subscribed at Tier 1. 
[665.295] justinfun74185269: 再起不能まーじか
[668.221] しいたけもぐもぐ: ドラゴンクエストウォークやる？
[669.509] どみのん: 死体処理班ww
[669.937] ryuya13: 王大人 KSK
[670.790] rechwe12: 奥に清原がいるな
[671.654] sika_sika_sika: 仙台にめちゃくちゃ旨い鶏そばの店ありますけど明日の昼行きません？
[671.923] show_hase: 男塾
[673.572] aquaction: 実際に歩くメンツは誰なの？
[673.593] nikorinko: 怪我だけは本当気をつけて
[676.281] あと1983: マンガ原作者もいるし、売り出そう
[677.949] wonderhit1: そういえば三太郎さんいないんだ
[678.265] uhpa84: KSK歩かないのか
[679.824] (S)m1s4m0: ksk以外
[682.012] vungo_mr: デスストランディングの世界観
[682.790] ポンポン: 男爵でぃーのはだれですか?
[682.904] mogai555: KSK、見た目が裏社会の人なんよ
[683.741] QueenofCombat: こんにちは、今日はお元気ですか
[686.146] (S)泣き虫サクラ: 歩数計とか持ったら面白そうじゃない
[686.392] みみち_333: 鶴亀屋食堂で飯食いましょ
[689.085] ライム_: 何待ち？？
[689.424] aranami0: 車内マイクまで設置されてる！やば
[690.528] usa451: カフェさんは？
[691.506] ノア1844: ハンサムさんは？
[692.356] (S)foo_twitch: サポート車は大事
[693.519] np2np: 折笠は？
[695.234] weeep1: 草
[695.677] v_harumi_v: ！？
[696.119] papipopon: あれハンサムは？
[696.219] furu13: 折笠氏いないんだ
[696.757] sikusi: あ
[696.783] justinfun74185269: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[696.942] Kanquez05: えいた死んだ？
[697.574] ememeume: 裏方本気のkskさん
[699.140] A135alfa: あ
[699.189] LogicalDashGG: 足がｗｗｗ
[699.348] rm_rf__: LUL
[699.862] (S)m1s4m0: は？
[699.864] aquaction: ？？？
[700.885] MadEggMania: えいた死亡確認
[700.933] もすも: 足やられたｗ
[701.710] goblin_dx: 早速けが人
[701.893] あさつき教: 毎回忘れられるハンサム
[701.991] v_harumi_v: はやくもダメージが
[702.125] reorge_muller: いたそ
[702.223] queuhcs: さっそくしんだ？
[702.368] ロンロ: 足おわりました
[702.413] ライム_: はい負傷
[702.446] Yaponjin: 負傷
[702.784] yui_tang0307: 折笠は行かないん？
[702.841] daichan1200: クロックス？
[702.890] (S)ゆなっこ: 始まる前から足が・・・
[703.021] ~MISSING_COMMENTER_INFO~: ？？？？？？
[703.999] nikukuisugi333: 負傷
[704.486] (S)redpeppar510: しのぎか？
[704.567] シンノ: wwww
[704.853] ememeume: 何したのww
[704.875] kaigaizei: シノギ
[705.510] A135alfa: おいおいおい
[705.583] (S)raurakd: ！？
[705.603] tololo86: えいたが死んだ
[705.645] momochan6: もう負傷したｗ
