[11567.954] 竹馬鶴太郎: !member
[11568.054] (M)Nightbot: Clutch_Fiさん, 小森めとさん, 英リサさん, 夢野あかりさん
[11580.562] 96nowa: おｓｓっし
[11582.689] ぽよぴ: おしいい
[11584.195] kanato780: おしい
[11612.320] Juicewisdom: axeumSip
[11856.559] wiluta2: @ayamimi4 ななわ
[11933.265] 96nowa: w
[11990.530] (S)foxy27999: 相手歯茎ない
[11998.529] なかたけ11: 意識高いなw
[12026.209] alfredo_the_meat_boy___: vodkav2Angryvdk
[12050.884] お丸海老: 勝ったのあっつ
[12073.408] エリハ: 4-8に持ってけるのすご
[12080.554] えせきん太郎: うおおおお
[12146.626] alfredo_the_meat_boy___: !rank
[12146.752] (M)Nightbot: Apex: Gold4 // Valo: Diamond2
[12235.043] 歯石くん: えw
[12426.360] ケダ: うおおおおおお
[12427.733] エリハ: うおおおおおおおおおおおおお
[12431.057] 96nowa: ないす
[12436.193] (S)キーマウから逃げたパッド: つよー
[12439.501] うぃんぶろ: GoatEmotey
[12440.345] fuuumy: body!?
[12444.571] (S)キーマウから逃げたパッド: vodkav2Good
[12462.578] ちゃそヴぁ: すまん、純
[12472.670] かかとおとし: unkochanSmile
[12582.942] 96nowa: あぶねｗ
[12603.309] (S)キーマウから逃げたパッド: ボドさんキャリーや！
[12606.083] terii303: 言ってることえぐいwww
[12635.075] genmybrown: あも
[12752.269] genmybrown: 相手手堅てｗ
[12758.438] ARAMA826: あもさい；；
[12853.719] らむぽっぷ: ひん
[12860.893] genmybrown: あも散々や！
[12865.691] ARAMA826: ｗｗｗ
[12877.335] キューブってる: 敵うめぇ～
[12906.759] ARAMA826: ｗｗｗ
[12908.789] 立直一発ツモい: wwwwww
[12909.673] genmybrown: ｗｗｗｗ
[12910.594] じーこです: ｗｗｗｗｗ
[12917.386] deejaypj123: かわいい
[12921.061] キューブってる: おこりん
[12923.270] genmybrown: 怒りのキャラメルコーン
[12943.963] (S)あぼべ: w
[12946.406] キューブってる: ｗｗｗｗｗｗｗｗｗｗ
[12949.028] deejaypj123: wｗｗｗｗｗｗ
[12949.046] 96nowa: ｗｗｗｗｗ
[12949.235] エリハ: asmr！？
[12951.391] ただのともや: wwww
[12953.514] ARAMA826: ｗ
[12955.477] キューブってる: vodkav2Amo
[12967.839] ice_cream002012: 相手強いなー
[12969.927] ahondara1123: たすかるやつかこれ
[12997.448] ﾑｴﾀｲ: キティちゃんのポップコーンはいかが 
[13009.861] 濃い麦ノぷるびネス: 🚬
[13087.209] formulqr: k4senMagao
[13115.647] (S)あぼべ: k4senMagao
[13157.338] genmybrown: ランクに比例してご褒美ふるぱの価値が上がる
[13175.996] genmybrown: ｗ
[13184.282] genmybrown: ぷぷ
[13186.205] ARAMA826: ｗ
[13200.422] gumic: ｗｗｗ
[13206.410] ARAMA826: お
[13212.464] ユミル3355: 効いててクカなんよ
[13214.886] genmybrown: 的中！
[13401.752] (S)so_Fc_07: www
[13401.987] komekome299: ｗ
[13405.042] 4うる: www
[13406.705] m14su: www
[13407.989] 立直一発ツモい: wwww
[13408.218] aeu241: キレすぎ
[13412.625] アムロルイ: ｗｗ
[13413.402] deejaypj123: ｗｗｗｗｗｗｗ
[13415.005] atchi_357: こわめのあかりん
[13453.204] Juicewisdom: axeumBlush
[13590.430] taka_um1: 怖ぇぇ
[13650.391] Skyhi_20: スタン（迫真）
[13651.057] らむぽっぷ: ｗ
[13656.957] ARAMA826: ！？
[13769.266] taka_um1: なーいす
[13895.961] alfredo_the_meat_boy___: t
[13931.298] genmybrown: リポジ最高や
[14119.786] daigo0612: BloodTrail
