[1280.917] (S)ranran_maru: umeCat
[1280.961] げろげろまる: 疑ってやがったな
[1281.065] (S)ポンポン: うーん
[1281.145] (S)blackcoffee0821: シー
[1281.365] ranrannbi: ｗｗｗｗｗｗｗｗ
[1282.237] hosuhosu: 挑戦することに意味があるからね
[1284.268] (S)hasitaka0: 立派な人にはわからんのですよ
[1285.856] (S)ippatsuman22: っっっっっw
[1286.479] Saki7856: ごり押しが正解のパズルはないはず
[1287.634] rotonz: 一応ね、一応
[1290.887] ranrannbi: そりゃね
[1291.593] lapistaxx: そしたら超スーパージャンプなんじゃない？
[1292.431] prototypeie: 一応ね
[1292.646] yaaaagii: 任天堂を裏切るゴリ押し
[1292.875] (S)redbull_daisuki: スト5の攻略とか対策は頭が柔軟なのにな
[1292.895] cocone_nnn: ﾌﾌｯ
[1293.980] prisira: うめちゃん頭かったいｗ
[1295.441] goukin2501: ウメちゃんもっと頭やわらかくして
[1310.793] ぼぜ: 迷路を裏返せたのは面白かった
[1320.509] (S)Sorachan1144: そのボタンが何故あるか考えよ
[1320.839] lapistaxx: 勢いつける？
[1321.469] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[1328.971] ranrannbi: 最初からやろうか
[1333.510] jaitheson: this is frustrating to watch
[1333.931] oden_shin: やり直していいと思うけどな
[1335.409] rondarchia: 偶然いけちゃったのがこんなことになるなんて
[1342.456] garalia0: ニンテンのゲームは流れで分かるようになってるよね
[1344.924] S0F4_K1NG: 惜しかった
[1347.364] goukin2501: シーソー乗ったことある？
[1352.450] Saki7856: 祠にワープしなおした方がいいかも
[1352.931] ぼぜ: ほら、昔のゲームは慣性とか物理エンジンとかなかったから……
[1367.028] prisira: 引き付けサマーの方が難しいで
[1367.284] lapistaxx: その球を集めると…
[1371.170] mi_suril: なるほど、ゲームとして捉えてるから分からないのか
[1372.499] (S)hasitaka0: そんな発想はなかったｗ
[1376.343] orange016: 現状は凹みにボールを入れる、か
[1379.904] そろもん1: ヒント：デコピン
[1381.746] inunade11: 神の悪戯 
[1385.439] (S)ポンポン: もっかい踏んでみよう
[1390.413] kireboshibasyato: スイッチ踏むだけの簡単なお仕事です
[1391.210] esrever42: ここに住もう
[1393.171] 多抜深夜: 簡単な方です
[1398.229] InitialDVolvo: LUL
[1402.977] (S)margareta1111: ウメちゃんがんばって
[1404.126] Aaerox: speed & power
[1406.572] jaitheson: step off it diago!!!
[1409.764] prisira: ギミックの意味考えよう
[1410.167] ぼぜ: ギブアップか？
[1410.233] lapistaxx: ウメちゃんwヤベェえwww
[1410.376] ~MISSING_COMMENTER_INFO~: 消しゴム弾いて遊んだだろうに
[1410.913] tukumi07: 今来たけど３秒でわかった
[1412.887] yaaaagii: 難しく考えてるう〜
[1415.426] (S)margareta1111: 爆弾万能説
[1415.486] momochan6: 草
[1415.598] InitialDVolvo: LUL
[1416.496] rondarchia: すぐ爆弾ｗ
[1417.374] Saki7856: no spoiler
[1418.983] dobakon: 横目でコメント見るのやめてｗ
[1420.456] おじキッズ兄: あまりにも固い
[1424.418] nisshi21: 頭硬いw
[1426.988] (S)higashimurayama: いま、せいかいだったような
[1427.525] kiitank: すぐ爆弾ｗ
[1427.728] adachikujin: やったことないけどこれはわかるわ
[1428.289] ~MISSING_COMMENTER_INFO~: ピンボールよ
[1428.345] (S)Sorachan1144: やばない？
[1429.073] ranrannbi: たえろ！ネタバレたえろ！
[1429.635] (S)mmiiacha: ピンボールやったことあらず？
[1429.649] (S)lunasolnars: 原人すっか
[1430.189] balthazar000: 色々やってみようや
[1433.872] lapistaxx: さっき気付いたと思ったらジャンプしてて笑う
[1434.565] Kanquez05: 視聴者全員気付いてそうなのが面白い
[1434.667] prototypeie: ウメちゃん 欲しがってない？
[1434.737] (S)ポンポン: おしい
[1438.254] (S)hasitaka0: すんごい最初に正解を放棄したよな
[1440.678] garalia0: 慣性かな
[1440.724] ぼぜ: むしろその発想は天才のそれだわ
[1441.807] zenzen108: ジャンプさせるだけ
[1444.954] bouzu1175: 完全に原人
[1445.177] Fazh: what a noob 
[1445.330] kireboshibasyato: ボールどうやったら飛ばせるか考えよ
[1445.570] ohkamin: ヌキさんに電話して聞いてみよ？
[1448.575] ティコマン5代目: IQ50
[1452.098] SunSunTaiyo: 草
[1452.123] (S)iheuko4: 気付くんだ
[1452.324] おじキッズ兄: e3飲もう
[1453.303] jaitheson: sorry cant watch this
[1456.212] kenitama: 俺は㉚分行ける
[1456.793] (S)margareta1111: 気付き
[1456.892] kireboshibasyato: あ
[1458.907] falandc: おっ？
[1460.107] dobakon: 気付き
[1460.343] pinio1022: あ
[1461.514] rondarchia: お？
[1462.271] ぼぜ: 天才
[1462.591] そろもん1: a
[1463.392] kurageman: まさか
[1465.378] (S)redbull_daisuki: ウメちゃ
[1466.161] mi_suril: ここで詰んでるって言って笑われてほしい
[1466.840] (S)margareta1111: ｗｗ
[1468.121] ~MISSING_COMMENTER_INFO~: 格ゲー全振りおじさん
[1469.648] lapistaxx: 次のゲームする？
[1469.886] bouzu1175: ええｗ
[1470.768] (S)higashimurayama: 飛ぶのか？
[1471.208] ranrannbi: ｗｗｗｗ
[1472.013] asasasasaba: 頭使え
[1472.767] momochan6: 飛ぶ気か？
[1477.005] ~MISSING_COMMENTER_INFO~: わかるときはすぐだけど、わからない時一時間以上同じ所いてしまう
[1477.223] dobakon: ちょっと届きそうで笑うわｗ
[1477.680] (S)margareta1111: いけるか？
[1477.893] falandc: こっからなら届くか・・・？
[1478.153] ~MISSING_COMMENTER_INFO~: 飛べぇえええええ
[1478.762] prototypeie: いけるのか？
[1480.313] tukumi07: ここから届く説
[1480.413] Kira00_: Pls daigo san
[1481.138] ぶどうぱん: umeFail
[1481.785] 000105: 空飛ぶ？
[1483.250] prisira: これでいけたら笑うわｗ
[1483.865] (S)ippatsuman22: 窪塚ジャンプ
[1485.046] カメイヨシヒロ: 流石に？
[1487.090] yaaaagii: 高度を得た
