[8.305] (S)gogopimimi: ウメちゃん
[2536.778] gyahhaa: リワープでサフィ特攻とは新しい戦略だ
[2539.478] silca12: オルエンに待ち伏せという鉄板
[2559.276] (S)varoshi: スリープたくさんあるから、戦略の幅が増えたね。
[2562.641] (S)komine58: パーン
[2571.428] rudorasosu: え？
[2573.681] (S)pikachupikac: Trump 2020
[2574.725] lapiopimo: xqcE
[2576.706] (S)zakkn: ほうほう・・
[2585.852] (S)varoshi: 捕獲要員は？
[2586.953] gyahhaa: 貴重な捕縛要員が・・・
[2587.304] okitakai: 育成特化
[2618.868] (S)zakkn: あたらしい・・
[2621.673] (S)komine58: 飛行で運搬すればよくない？
[2629.687] (S)zakkn: シー！
[2632.042] Ceciltaisa: ウメテレポ
[2632.199] tamaow: サフィ「私が村を守る！」
[2632.853] balthazar000: ウメの戦法見せてくれ
[2634.434] rudorasosu: 飛行でいいな
[2642.977] (S)momomo00123: マジ？
[2657.985] (S)Kanquez05: ウメちゃんはこういうの気にしない
[2659.523] Ceciltaisa: ウメちゃんは安直に跳ばないからな
[2663.868] kaeru100: ウメが気づくの待てよ
[2673.987] 先日助けてもらった鶴です: 甘えた飛びはしない主義
[2674.455] (S)zakkn: とびは甘え
[2676.150] (S)kurataro: 気付きを楽しむ配信よ
[2694.245] ~MISSING_COMMENTER_INFO~: サフィの信仰心が試されてる
[2695.097] rudorasosu: ＦＥでも地上戦してくぅ！
[2695.591] (S)toshioj: トラキアは自分で気付くもんじゃんねぇ？ｗ
[2696.588] sora_neko09: テレポや阿修羅が甘えでないとでも？
[2707.873] (S)komine58: 杖レベルMAXいくか
[2708.057] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[2709.460] tamaow: むしろ正攻法から外れてクリアするから面白い
[2728.477] (S)komine58: この戦略は新しい,
[2729.265] silca12: ウメちゃんせめて降りて戦えばいいのにｗ
[2744.138] (S)varoshi: サフィそこに飛ばすんだ。なるほど。
[2745.204] ~MISSING_COMMENTER_INFO~: 降りるのは まあな
[2746.815] (S)zakkn: 山登りがすきなんすねー
[2787.478] (S)komine58: バードって何にCCするんだろ
[2790.588] tokorozawabeast: うめさんこんにちわ～
[2802.094] (S)zakkn: セイジさん
[2809.896] ~MISSING_COMMENTER_INFO~: バードの就職先はメイジと同じ
[2824.326] tokorozawabeast: このステージってマリータが流星剣覚えるところ・・？
[2824.437] sora_neko09: 非効率でも攻略見ないほうが楽しめるのだから，まあそれでいい
[2839.799] ジンクス: もうおねむなの？
[2846.159] okitakai: トルバドールもパラディンだし上級職はレパートリー少ない感ある
[2847.895] (S)zakkn: ねむはら
[2849.037] amadori3: 敵の配置がいやらしい
[2850.494] h2hiroyuki: 攻略見た時点でただの作業になっちゃうからね
[2885.959] (S)ilm0806: o, oh
[2886.732] kaeru100: パラディンは男と女で使える武器違うし
[2891.874] ~MISSING_COMMENTER_INFO~: がっつり攻略すると単純作業化できるんだよな
[2893.541] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[2956.851] sora_neko09: ウメちゃんは闘会議で何かやるの？
[2957.531] (S)ilm0806: エラニーになった人は、再起動をお試しあれ
[2967.182] (S)toshioj: 2回目とかはノーリセでやると毎回事故起こって違う戦略練るハメになりそう
[2980.652] (S)neranoob: 後ろから叫び声がきこえるｗ
[2989.747] (S)pem97476: オネム
[3010.199] akumashougun3: タニアとフェルグスがエースは頼りないなーｗ
[3013.161] (S)komine58: 闘会議はRAGEで出演じゃない？
[3013.677] (S)ilm0806: @sora_neko09 ウメちゃん闘会議でるの？
[3027.094] ~MISSING_COMMENTER_INFO~: フェルグスはマジモンの神
[3028.637] (S)momomo00123: ウメちゃんお疲れかな？
