[28.429] huroran_: こんどぐ〜
[1966.386] スパタカ170132: いや、見とこう見とこう笑
[1967.504] unimel1x: ランクマ行こうぜ...久しぶりに、キレちまったよ...
[1970.197] ryo6366: ひなのこ
[1970.358] reirei205: ルーク戦、昨日かなり頑張ってた。
[1971.491] miro36363: イライラの日なの
[1971.534] セクシーラッコ: 勝つさ
[1974.295] Ippo360: かずのこインストール！
[1974.684] okometabe: 安心だわ
[1974.937] takosuke86: 昨日結構かじゅの動きマネしてた
[1975.698] kurokokuroi: かずのこをインストールしたのかｗ
[1976.547] あすか002: かじゅインストール
[1977.238] guscotu0: ひなのこ
[1977.697] reirei205: かじゅインストール！
[1978.816] Odango55: やる前から負けること考えるやつがいるかよと猪木も言うてました
[1979.767] akiravec: 竹槍
[1979.768] こすもどりっぷ: 無敵じゃんねぇ？
[1982.182] naryuhama: 俺もインストールしてえ
[1982.659] hige_yarou: んなら大丈夫やな
[1988.641] unimel1x: wwwww
[1989.831] okometabe: 響かせたれ！
[1991.090] shi_a__: ｗｗｗ
[1991.378] ゆきち08: ｗｗｗｗｗｗ
[1992.958] (S)鉄板: れんくんも付き合ってくれています
[1993.542] (S)uguisuball: インストールしたのか？俺以外のエドを
[1993.771] にゃんたー_121: リスナーさんやなぁ
[1994.904] _いるく: 邪魔ァ！
[2000.406] nolen9210: ちゃんとこのゲーム遊んでるの笑う
[2001.873] taketori_66: 昨日のうるか戦とはもう動き違うよひなーの
[2004.242] マークマン23: hi dogura-san, have a nice stream
[2007.065] odenn_dao: ほんまにトロールやんけw
[2008.303] あすか002: ひなーの対策にはなってる
[2008.988] dejiru: コピーされてる
[2009.701] mix_camp: 対空やめてねw
[2011.139] atamamiru: ｗｗｗ
[2012.279] shi_a__: 時間であたりつけたら？
[2013.163] ~MISSING_COMMENTER_INFO~: プロフィールから戦績見たほうがいい
[2018.509] _いるく: 向こうもやってんなぁ
