[1292.668] kei_vlz113: tennnWaitWhat
[1294.008] TsHsAs_: tennnHatena
[1294.532] かいり채널: ？
[1294.853] stthronez: ？？？？
[1294.874] spilca_: ？
[1295.599] Yukky_0129: ？
[1296.245] kasyu_940: バイがやバイ
[1296.954] 河田ふらっぺ: ？
[1297.103] チムロク: Kappa
[1297.193] pepuko: カマキリAIMえぎい
[1297.474] kei_age: ？
[1297.780] Neko_bag: だばい？
[1298.143] takuma153: なんか寒いか今日
[1298.548] MrRaizouEz: ？
[1298.883] ダンブル: ？
[1298.965] かん太: tennnWaitWhat
[1299.661] 大宮の鬼嫁: w
[1299.779] ギムネマ茶: おもしろいね…
[1299.791] くぅくぅ: ZETAWIN
[1299.799] 投げやり大往生: ？？？
[1300.675] wkwkggrks: ？
[1301.848] ちえぴ: ？
[1302.178] 1400dpi_riki02: tennnHi2
[1303.337] 5nz0o: TENNNさんのTシャツは何サイズですか？
[1307.946] ちえぴ: tennnWaitWhat
[1310.189] kasyu_940: ？
[1311.246] かん太: いい天気だよ
[1314.218] Neko_bag: ｗｗｗ
[1314.352] kasyu_940: やめてね
[1316.199] (S)もあ_모아: どんまい
[1318.327] not_found89: やめよか
[1325.533] かん太: ないす！
[1327.462] ぎょんす: うま
[1327.685] 5nz0o: いいぐれ
[1328.078] kei_vlz113: 最高27度やねん
[1328.664] Neko_bag: うおおおお
[1329.340] not_found89: うおおおおおおおおお
[1333.422] にゃんキャッツ: depowKawaiine
[1337.516] モブエフ: ひろろん頑張れ！
[1338.900] rail1203: 兄貴怖い
[1344.484] ちえぴ: Depまん！！！
[1347.123] spilca_: Depサーン
[1348.668] not_found89: あっぶねええ
[1356.446] darkflamemagic: つっよ
[1360.799] 5nz0o: つよ
[1361.813] (S)もあ_모아: depowKawaiine
[1362.109] かん太: tennnW0w
[1362.554] kasyu_940: つえ
[1363.411] jasmine_12347: dep
[1363.578] ぎょんす: tennnZETANICE
[1363.588] にゃんキャッツ: tennnW0w
[1364.754] hanayo123456: つよw
[1364.764] not_found89: っしゃああああああああああああ
[1365.265] ぼんちゃい: この二人
[1366.674] Neko_bag: つんよお
[1366.845] kei_age: つよ
[1367.077] かねこゆうた: depさーん！
[1368.674] shirasugohan580: つよ
[1368.738] なぎちゃです: Dep
[1369.114] もんこみ2: つっっっよ
[1370.951] suoro75: でっぷさああん
[1373.120] かん太: この2人今日強いな
[1373.309] (M)Nightbot: Twitter⇒ https://twitter.com/tenhakyou YouTube⇒ https://www.youtube.com/user/tenstudio127
[1375.962] ちえぴ: ナイス！！！
[1376.183] (S)もあ_모아: depowNiceeeeee
[1379.609] 1400dpi_riki02: 寝起き？w
[1381.385] darkflamemagic: Depさん 
[1383.654] にゃんキャッツ: depowKawaiine
[1385.826] Neko_bag: なるほｄたしかに
[1403.193] 1400dpi_riki02: 敵の色変えてるーデップ
[1403.199] kasyu_940: いいアイムしてる
[1421.696] mapi2355: depさんもしかして1422?
[1422.724] かん太: がんばれZETA 
[1433.159] rion222222: とぶか？
[1452.611] darkflamemagic: ナイス
[1454.805] かん太: www
[1455.493] (S)もあ_모아: w
[1455.497] ギムネマ茶: ｗ
[1456.826] Neko_bag: ｗｗ
[1458.139] rays_0121: 宣伝
[1459.891] 投げやり大往生: wwww
[1460.508] kei_age: w
[1461.803] kasyu_940: 宣伝もしっかりします
[1464.288] ぎょんす: w
[1465.394] yamachaaaaa: GEのpolvi
[1465.613] 俺のショーティー: rossyだっけ
[1466.361] 1400dpi_riki02: ポルビでしょw
[1467.057] ai_refi: polvi
[1467.901] footkiru: GEね
[1469.477] takuma153: geじゃないか？
[1469.510] wkwkggrks: polviね
[1469.552] おなまえ: tennnHi2
[1470.901] すべすまんがに: GEじぇね
[1473.754] にゃんキャッツ: lazvellNice
[1473.985] pr1mo_q: 🐮🤚
[1474.845] 5nz0o: polviしてたね
[1475.294] suoro75: ここ頼む
