[6.682] (S)だーさと: うぃ～
[778.600] naga_tuki96: もしセイジがまだマダラだったらタラさん含めてかなり厄介だっただろうな
[778.752] yazzryu: 地獄耳のセイジですか
[779.569] tatsu3ta: 嘘はいいけど信用なくなるよってことか
[780.047] もち麦ご飯: まだら攻めるブラフ
[780.278] jagpmda: 文殊政治
[780.983] amuamu_123: まじで政治さんでわろた
[783.555] むじゅん: なるほど
[784.141] (S)腋汗ビショビショ丸: NL政治さん
[786.981] otonashi6209: よー相手の思惑わからんのにコメントでバカにできるよな
[788.400] (S)nonturnnn: セイジまじで参謀向いてるか
[790.132] himajin_235: セイジ入れたの大正解やね
[791.321] t2dragon12: 新薬もきになる
[798.996] bananapoop3939: @otonashi6209 帰ってね
[799.276] (S)nana43: 政治さんは草
[800.479] beforedawn000: セイジ人柄含めて外交強いなぁ
[801.604] (S)spiritkool: って事はメタイけど逆に守りたい島で防衛する際はサプ外したら警察も来て売らせ辛くできそう
[805.049] koppepaan: 同盟組んでもらうのはアリ
[805.263] (S)ぶらさぶ: 文殊政治やめてwww
[807.655] (S)sakae_gumi: 需要がなけりゃなぁ
[809.184] (S)cazy11: NLは北取っても維持がきついよなぁ
[809.297] (S)yaahiiiii: けっつんは女にうつつでセイジin
[809.844] (S)u_tan86: フロントで出来るくらいか
[810.054] (S)mamimumemo123456789: ほんとに守りたいのはどこなのかって所だね
[810.715] (S)devimy_: 億単位いきそう
[814.545] haruuuuui: セイジはもうノーリミの人間だした組織のボスとしては正しい判断だね
[814.717] masasasa01: せいじ以外と頭いい
[815.849] rosso_k: カルテルですらあれだし
[818.671] (S)生のイモ: 効果強くてもナーフ入るだろうし
[819.037] はく0__0: 販売専用とか言ってたしな
[820.990] (S)くりーむべあーず: ロマン
[822.873] matutu29: 持ってれば抗争のカードにはなるかどうかよな
[822.967] (S)RAG1gg: @otonashi6209  帰宅帰宅
[823.112] (S)koyasuyasu: @otonashi6209 変なのも湧いてます
[824.656] (S)ender_ear: 売り専門言うてたしな市長
[827.099] machina01remake: メメントモリ気になるね
[831.009] yusei_no_pen: 効果開示と買い付け可能にしてくれればって所か
[831.464] (S)tatiyama53: 安く買わせてもらうとかもいいな
[832.534] nishiki15: パワーバランス崩すほどではないだろうな
[832.634] あいまー: セイジ頼もしすぎ
[833.044] shiotonkotu_14: 爆弾になる可能性すらある
[834.672] (S)疲れ: @otonashi6209さようなら
[836.273] (S)fummys: 効率良く作れるとかありそう
